ETF2,Correlation
ACE 200,0.8906171818650934
ACE 200TR,0.8809161732203354
ACE 2차전지&친환경차액티브,0.4441999835335945
ACE ESG액티브,0.8034656878900653
ACE Fn5G플러스,0.680112648502495
ACE Fn성장소비주도주,0.5489220157989961
ACE 골드선물 레버리지(합성 H),0.20477945328500208
ACE 국고채10년,0.10645254630972
ACE 국고채3년,0.13683336151469444
ACE 단기통안채,-0.026764363098809876
ACE 러시아MSCI(합성),0.07674914168187875
ACE 레버리지,0.8857838364854083
ACE 멕시코MSCI(합성),0.32179660775150387
ACE 미국IT인터넷S&P(합성 H),0.40515660675340537
ACE 미국S&P500,0.4154549445702467
ACE 미국WideMoat동일가중,0.41544405966879044
ACE 미국나스닥100,0.4269643454648212
ACE 미국다우존스리츠(합성 H),0.3870243742547315
ACE 미국친환경그린테마INDXX,0.4271494985698197
ACE 밸류대형,0.8998083078990391
ACE 베트남VN30(합성),0.14141594335915625
ACE 베트남VN30선물블룸버그레버리지(H),0.29561894279034434
ACE 삼성그룹동일가중,0.7930918842055047
ACE 삼성그룹섹터가중,0.8980326466267716
ACE 싱가포르리츠,0.18888317400994825
ACE 아시아TOP50S&P,0.5355286245466462
ACE 인도네시아MSCI(합성),0.2516740207770895
ACE 인버스,-0.878350534501453
ACE 일본Nikkei225(H),0.56039093539071
ACE 일본TOPIX레버리지(H),0.43774079724200665
ACE 일본TOPIX인버스(합성 H),-0.5761719065215416
ACE 종합채권(AA-이상)KIS액티브,0.08002662671190146
ACE 중국본토CSI300,0.12544623808434896
ACE 중국본토CSI300레버리지(합성),0.13352863879148952
ACE 중장기국공채액티브,0.12514738271037157
ACE 차이나항셍테크,0.30662181800426
ACE 코스닥150,0.5673410024062246
ACE 코스피,0.8524463871827801
ACE 필리핀MSCI(합성),0.17055888911516556
BNK금융지주,0.5242707679192053
HANARO 200,0.8892616294943035
HANARO 200TR,0.8813645670748277
HANARO 200선물레버리지,0.8827768488032391
HANARO 200선물인버스,-0.8730376218329012
HANARO e커머스,0.5996037135884055
HANARO Fn K-POP&미디어,0.36365618776933006
HANARO Fn K-게임,0.41933160023571997
HANARO Fn K-뉴딜디지털플러스,0.5963079581789569
HANARO Fn K-반도체,0.7020653572856357
HANARO Fn5G산업,0.7246228159325014
HANARO Fn전기&수소차,0.664642590881374
HANARO Fn친환경에너지,0.5141539951890362
HANARO KAP초장기국고채,0.1410635205789872
HANARO KRX300,0.828600612425884
HANARO MSCI Korea TR,0.8215408932714899
HANARO 고배당,0.711787855775282
HANARO 글로벌럭셔리S&P(합성),0.40591058112552497
HANARO 농업융복합산업,0.5880581686774013
HANARO 단기채권액티브,0.009691817943063546
HANARO 코스닥150,0.571683534360134
HANARO 코스닥150선물레버리지,0.5805588488705021
HANARO 탄소효율그린뉴딜,0.7923103591052417
KODEX 200 중소형,0.721248477836623
KODEX 200,0.8887379568195767
KODEX 200ESG,0.8735174458033839
KODEX 200exTOP,0.7836997267478713
KODEX 200IT TR,0.7950820144767288
KODEX 200TR,0.8828496120607484
KODEX 200가치저변동,0.8754640871450508
KODEX 200동일가중,0.7805718303528629
KODEX 200롱코스닥150숏선물,-0.0509900466044483
KODEX 200미국채혼합,0.5634274416175307
KODEX 200선물인버스2X,-0.8844561403853285
KODEX 2차전지산업,0.4320714127947664
KODEX 3대농산물선물(H),0.09012800665877102
KODEX IT,0.7533779747664807
KODEX K-뉴딜디지털플러스,0.6023694105693648
KODEX K-미래차액티브,0.7129799016243089
KODEX K-신재생에너지액티브,0.4850238393645046
KODEX K-이노베이션액티브,0.6365133442111669
KODEX KRX300,0.8699647125016936
KODEX KRX300레버리지,0.8284110135967422
KODEX KTOP30,0.8363018652794042
KODEX MSCI EM선물(H),0.5834007827192061
KODEX MSCI KOREA ESG유니버설,0.8216713377751252
KODEX MSCI Korea TR,0.8593340364337467
KODEX MSCI Korea,0.8450455320050142
KODEX MSCI모멘텀,0.637103974485174
KODEX MSCI밸류,0.8098185653165108
KODEX MSCI퀄리티,0.7855093739011015
KODEX S&P글로벌인프라(합성),0.30965364868699385
KODEX Top10동일가중,0.7146130792993712
KODEX Top5PlusTR,0.8024341467913578
KODEX TRF3070,0.352478197482086
KODEX TRF5050,0.3168202423401681
KODEX TRF7030,0.38783749444438737
KODEX WTI원유선물(H),0.2165977826526931
KODEX WTI원유선물인버스(H),-0.21715423447692933
KODEX 건설,0.6301195460480612
KODEX 게임산업,0.4042581214395703
KODEX 경기소비재,0.6518047833693347
KODEX 고배당,0.6952373575673256
KODEX 골드선물(H),0.19383582143637482
