ETF2,Correlation
ACE 200,-0.9865060164744962
ACE 200TR,-0.9870344936934842
ACE 2차전지&친환경차액티브,-0.5548759972959746
ACE ESG액티브,-0.9171699615367886
ACE Fn5G플러스,-0.8061494040982933
ACE Fn성장소비주도주,-0.6427769034792568
ACE 골드선물 레버리지(합성 H),-0.2353054989803597
ACE 국고채10년,-0.1695633724618446
ACE 국고채3년,-0.20236547322594503
ACE 단기통안채,0.01304087214617095
ACE 러시아MSCI(합성),-0.08348137179034612
ACE 레버리지,-0.9921203789184497
ACE 멕시코MSCI(합성),-0.3123187304856353
ACE 미국IT인터넷S&P(합성 H),-0.5112614011664564
ACE 미국S&P500,-0.46362951482621934
ACE 미국WideMoat동일가중,-0.4611976855341817
ACE 미국나스닥100,-0.517837029879058
ACE 미국다우존스리츠(합성 H),-0.44221604223084304
ACE 미국친환경그린테마INDXX,-0.46398142227144434
ACE 밸류대형,-0.9374437453322785
ACE 베트남VN30(합성),-0.13680268756542335
ACE 베트남VN30선물블룸버그레버리지(H),-0.3273734261659756
ACE 삼성그룹동일가중,-0.7046006444381503
ACE 삼성그룹섹터가중,-0.8827557255091103
ACE 싱가포르리츠,-0.19216713664878382
ACE 아시아TOP50S&P,-0.6193475770134034
ACE 인도네시아MSCI(합성),-0.24959472949978778
ACE 인버스,0.9787599653596947
ACE 일본Nikkei225(H),-0.6366908648718941
ACE 일본TOPIX레버리지(H),-0.46591113399557915
ACE 일본TOPIX인버스(합성 H),0.6415380413101347
ACE 종합채권(AA-이상)KIS액티브,-0.1485175704481338
ACE 중국본토CSI300,-0.15623975152246533
ACE 중국본토CSI300레버리지(합성),-0.17609464505741637
ACE 중장기국공채액티브,-0.19457746415887645
ACE 차이나항셍테크,-0.38057353292279156
ACE 코스닥150,-0.7166149881164564
ACE 코스피,-0.9526214958443309
ACE 필리핀MSCI(합성),-0.15277334983303406
BNK금융지주,-0.4835339153713613
HANARO 200,-0.9917186440540654
HANARO 200TR,-0.9880748148383469
HANARO 200선물레버리지,-0.9841151551175258
HANARO 200선물인버스,0.9703678320781297
HANARO e커머스,-0.7164303643578761
HANARO Fn K-POP&미디어,-0.46236543396215535
HANARO Fn K-게임,-0.532607084519925
HANARO Fn K-뉴딜디지털플러스,-0.7359968415170323
HANARO Fn K-반도체,-0.8330694256513095
HANARO Fn5G산업,-0.822867108302045
HANARO Fn전기&수소차,-0.7550867832109901
HANARO Fn친환경에너지,-0.617589623303667
HANARO KAP초장기국고채,-0.20495664863016594
HANARO KRX300,-0.9352342568109913
HANARO MSCI Korea TR,-0.9329724275058147
HANARO 고배당,-0.6692894565081915
HANARO 글로벌럭셔리S&P(합성),-0.43235534465250847
HANARO 농업융복합산업,-0.6412330133482614
HANARO 단기채권액티브,-0.008079397544124994
HANARO 코스닥150,-0.7217806007500835
HANARO 코스닥150선물레버리지,-0.737021200062306
HANARO 탄소효율그린뉴딜,-0.893222346997152
KODEX 200 중소형,-0.7624041565191559
KODEX 200,-0.9926542038887632
KODEX 200ESG,-0.9467206320583427
KODEX 200exTOP,-0.8555822400637091
KODEX 200IT TR,-0.88975478710939
KODEX 200TR,-0.9921996993572286
KODEX 200가치저변동,-0.8961662625561789
KODEX 200동일가중,-0.8088934245011467
KODEX 200롱코스닥150숏선물,0.17131289400731614
KODEX 200미국채혼합,-0.5930617217925008
KODEX 200선물인버스2X,0.9951516129878614
KODEX 2차전지산업,-0.5343854210911888
KODEX 3대농산물선물(H),-0.07870501414188785
KODEX IT,-0.8752214419222505
KODEX K-뉴딜디지털플러스,-0.7411745038462205
KODEX K-미래차액티브,-0.8247278834691018
KODEX K-신재생에너지액티브,-0.5681287630238834
KODEX K-이노베이션액티브,-0.7746819751792997
KODEX KRX300,-0.9730165706697853
KODEX KRX300레버리지,-0.9345207487708536
KODEX KTOP30,-0.9244003546754697
KODEX MSCI EM선물(H),-0.6858621367365481
KODEX MSCI KOREA ESG유니버설,-0.9108191090276082
KODEX MSCI Korea TR,-0.9686886217700023
KODEX MSCI Korea,-0.9427140633441917
KODEX MSCI모멘텀,-0.7256116239596255
KODEX MSCI밸류,-0.8389690148563149
KODEX MSCI퀄리티,-0.874587557886319
KODEX S&P글로벌인프라(합성),-0.28352039411387925
KODEX Top10동일가중,-0.8559320065172143
KODEX Top5PlusTR,-0.9280624515399599
KODEX TRF3070,-0.4004936962787697
KODEX TRF5050,-0.33932700569740853
KODEX TRF7030,-0.41892020726230944
KODEX WTI원유선물(H),-0.20286006623638128
KODEX WTI원유선물인버스(H),0.20514372098083178
KODEX 건설,-0.6210194465738115
KODEX 게임산업,-0.5189296445467965
KODEX 경기소비재,-0.687000782095496
KODEX 고배당,-0.6459090139666257
KODEX 골드선물(H),-0.22995937353219106
KODEX 골드선물인버스(H),0.2190728651632577
KODEX 구리선물(H),-0.3760283041420914
KODEX 국고채3년,-0.17535383814136526
KODEX 국채선물10년,-0.17072233456737967
KODEX 국채선물10년인버스,0.1968363404475383
KODEX 국채선물3년인버스,0.1887467097185787
KODEX 글로벌로봇(합성),-0.5277925057414823
KODEX 기계장비,-0.6405663082573632
KODEX 단기변동금리부채권액티브,-0.012616869259051347
KODEX 단기채권,-0.01716934816468204
KODEX 단기채권PLUS,-0.08354418617755796
KODEX 레버리지,-0.9958483510678172
KODEX 멀티에셋하이인컴(H),-0.29892323872636567
KODEX 멀티팩터,-0.8789296993663903
KODEX 모멘텀Plus,-0.6263694535745704
KODEX 미국10년국채선물,0.42766389315004233
KODEX 미국30년국채울트라선물(H),-0.1017370294985027
KODEX 미국S&P500TR,-0.4732741205544643
KODEX 미국S&P500산업재(합성),-0.3571725125950138
KODEX 미국S&P500선물(H),-0.6791804992152212
KODEX 미국S&P500에너지(합성),-0.13145788888912466
KODEX 미국S&P바이오(합성),-0.2929267714938578
KODEX 미국나스닥100TR,-0.5208784734529415
KODEX 미국나스닥100선물(H),-0.6562478461901268
KODEX 미국달러선물,0.5425658129106803
KODEX 미국달러선물레버리지,0.5513132011506513
KODEX 미국달러선물인버스,-0.5429154982379528
KODEX 미국달러선물인버스2X,-0.5499758346609865
KODEX 미국러셀2000(H),-0.6400005507998009
KODEX 미국반도체MV,-0.5770794624929098
KODEX 미국부동산리츠(H),-0.5075023875869982
KODEX 미국빅테크10(H),-0.6305136997792743
KODEX 미국스마트모빌리티S&P,-0.5162621296056517
KODEX 미디어&엔터테인먼트,-0.6477334615000739
KODEX 바이오,-0.6176298951510687
KODEX 반도체,-0.7648193944965624
KODEX 배당가치,-0.8834888744242576
KODEX 배당성장,-0.7771490978374392
KODEX 배당성장채권혼합,-0.7157536671125916
KODEX 밸류Plus,-0.6951634317820928
KODEX 보험,-0.3948455388925381
KODEX 삼성그룹,-0.8872735569601307
KODEX 삼성그룹밸류,-0.8866400339292023
KODEX 선진국MSCI World,-0.5266103404322641
KODEX 성장주,-0.924531099316456
KODEX 시스템반도체,-0.8002188980978723
KODEX 에너지화학,-0.6632342726687964
KODEX 운송,-0.6392492468892698
KODEX 웹툰&드라마,-0.5915447230689631
KODEX 은선물(H),-0.3308549320450057
KODEX 은행,-0.6115210804487133
KODEX 인버스,0.9943517734312349
KODEX 일본TOPIX100,-0.4335249802832473
KODEX 일본부동산리츠(H),-0.29814399861694957
KODEX 자동차,-0.6466818881942072
KODEX 종합채권(AA-이상)액티브,-0.16685983747527416
KODEX 증권,-0.7213365249334368
KODEX 차이나A50,-0.1193569169638467
KODEX 차이나CSI300,-0.10314253282680871
KODEX 차이나H,-0.38271268368323713
KODEX 차이나H레버리지(H),-0.5175714563330719
KODEX 차이나심천ChiNext(합성),-0.12127656001123571
KODEX 차이나항셍테크,-0.3903075623007424
KODEX 철강,-0.6074059148540817
KODEX 최소변동성,-0.8138219863047859
KODEX 코스닥150,-0.735718658229659
KODEX 코스닥150레버리지,-0.7402684564830301
KODEX 코스닥150롱코스피200숏선물,-0.14900842953385512
KODEX 코스닥150선물인버스,0.7450042119134848
KODEX 코스피,-0.962194549391958
KODEX 코스피100,-0.9739889606149125
KODEX 코스피TR,-0.9540916784889676
KODEX 코스피대형주,-0.9567809733731487
KODEX 콩선물(H),-0.19420553342631916
KODEX 퀄리티Plus,-0.6909621294957321
KODEX 탄소효율그린뉴딜,-0.9481816637516141
KODEX 필수소비재,-0.5445900611455694
KODEX 한국대만IT프리미어,-0.7350218089254893
KODEX 헬스케어,-0.6096815759599616
KODEX 혁신기술테마액티브,-0.8490721919368782
KOSEF 200,-0.9895924408341519
KOSEF 200TR,-0.9927916457818271
KOSEF 200선물레버리지,-0.996061940850481
KOSEF 200선물인버스,0.9916982992422108
KOSEF 200선물인버스2X,0.9903270890982488
KOSEF Fn중소형,-0.7322301995675043
KOSEF KRX100,-0.9739815870716592
KOSEF 고배당,-0.6156309281565412
KOSEF 국고채10년,-0.16910858069955131
KOSEF 국고채10년레버리지,-0.18782995700414076
KOSEF 국고채3년,-0.15876657358944465
KOSEF 글로벌디지털경제,-0.3595829046456397
KOSEF 글로벌퓨처모빌리티,-0.43407916452840395
KOSEF 단기자금,0.005665036284109414
KOSEF 미국달러선물,0.5282224032721801
KOSEF 미국달러선물레버리지,0.5518852839066739
KOSEF 미국달러선물인버스,-0.5424471432187399
KOSEF 미국달러선물인버스2X,-0.5466301946435165
KOSEF 미국방어배당성장나스닥,-0.1545840103043006
KOSEF 블루칩,-0.8902298509716815
KOSEF 인도Nifty50(합성),-0.3115264540998929
KOSEF 코스닥150,-0.7230946784052281
KOSEF 코스닥150선물레버리지,-0.7380440224565507
KOSEF 코스닥150선물인버스,0.7379168470886185
KOSEF 코스피100,-0.9811717641137099
KOSEF 통안채1년,-0.012483168505639373
NEW,-0.3049489655516171
PLUS 200,-0.9874469821080166
PLUS 200선물레버리지,-0.9920840073052863
PLUS 200선물인버스2X,0.9906261909114222
PLUS ESG가치주액티브,-0.9293498018347738
PLUS ESG성장주액티브,-0.9138181908110266
PLUS KS로우볼가중TR,-0.9171245665347435
PLUS KS로우사이즈가중TR,-0.901026801025523
PLUS KS모멘텀가중TR,-0.903613387254388
PLUS KS밸류가중TR,-0.9279839748975998
PLUS S&P글로벌인프라,-0.042349876501766213
PLUS 고배당저변동50,-0.6101071341182946
PLUS 고배당주,-0.5792760715952546
PLUS 고배당주채권혼합,-0.6142218001272304
PLUS 국채선물10년,-0.19915982666027482
PLUS 국채선물3년,-0.1696104725508502
PLUS 글로벌MSCI(합성 H),-0.5861166479780292
PLUS 단기채권액티브,-0.12796498609788048
PLUS 미국S&P500(H),-0.6777784198570422
PLUS 미국나스닥테크,-0.5258564006403444
PLUS 미국다우존스고배당주(합성 H),-0.3912716536528628
PLUS 미국단기회사채(AAA~A),0.4820109377816839
PLUS 미국장기우량회사채,0.10832289404997587
PLUS 선진국MSCI(합성 H),-0.6188443647683659
PLUS 스마트베타Quality채권혼합,-0.7677619613898221
PLUS 신흥국MSCI(합성 H),-0.6817209610642565
PLUS 신흥국MSCI인버스(합성 H),0.6482664115377779
PLUS 심천차이넥스트(합성),-0.11991535911109293
PLUS 우량회사채50,-0.1176699681077381
PLUS 주도업종,-0.8839270380660392
PLUS 중형주저변동50,-0.6912571017768148
PLUS 코스닥150,-0.7281609326360974
PLUS 코스닥150선물인버스,0.7343551749680177
PLUS 코스피,-0.9590366191765274
PLUS 코스피50,-0.9697383320337877
PLUS 코스피TR,-0.9639927324734311
RISE 200,-0.9889375279527575
RISE 200TR,-0.9910987702085836
RISE 200고배당커버드콜ATM,-0.4525136699193997
RISE 200금융,-0.6232693321620422
RISE 200선물레버리지,-0.9954087552618652
RISE 200선물인버스,0.9820555908242735
RISE 200선물인버스2X,0.9851853279734433
RISE 5G테크,-0.7321418555929182
RISE 5대그룹주,-0.9134311116859901
RISE ESG사회책임투자,-0.9005081377461631
RISE IT플러스,-0.8990381476653971
RISE KIS국고채30년Enhanced,-0.18114448664330682
RISE KQ고배당,-0.740679235029178
RISE KRX300,-0.9477094348987591
RISE V&S셀렉트밸류,-0.8897781529074733
RISE V&S셀렉트밸류채권혼합,-0.6715315491062754
RISE 게임테마,-0.5156723248971321
RISE 고배당,-0.835654664268271
RISE 국고채3년,-0.1682572948188696
RISE 국고채3년선물인버스,0.17249104432052242
RISE 국채선물10년,-0.20434595818720558
RISE 국채선물10년인버스,0.18113057579714506
RISE 국채선물5년추종,-0.18592587564941973
RISE 국채선물5년추종인버스,0.17604915667972104
RISE 글로벌데이터센터리츠(합성),-0.3051884680134928
RISE 글로벌테크놀로지(합성 H),-0.5771806905253388
RISE 금융채액티브,-0.18208713034311158
RISE 내수주플러스,-0.7049158243836077
RISE 단기국공채액티브,-0.11995522097464859
RISE 단기종합채권(AA-이상)액티브,-0.06619838462961523
RISE 단기통안채,-0.08267836793721871
RISE 대형고배당10TR,-0.9136393364235713
RISE 미국S&P500,-0.4590796301566853
RISE 미국S&P원유생산기업(합성 H),-0.3197583469574741
RISE 미국고정배당우선증권 TR,-0.060189075670618916
RISE 미국나스닥100,-0.5192804158849147
RISE 미국장기국채선물(H),-0.09736469203139687
RISE 미국장기국채선물레버리지(합성 H),-0.13680786759419908
RISE 미국장기국채선물인버스(H),0.13965767717104058
RISE 비메모리반도체액티브,-0.740298964068892
RISE 수소경제테마,-0.7614364373273113
RISE 수출주,-0.8083667406620553
RISE 우량업종대표주,-0.7680374287962515
RISE 유로스탁스50(H),-0.6359475738813569
RISE 종합채권(A-이상)액티브,-0.19148806488486395
RISE 주식혼합,-0.8303342990216321
RISE 중국MSCI China(H),-0.43395746196487106
RISE 중국본토대형주CSI100,-0.12019331915196238
RISE 중기우량회사채,-0.1898565688814766
RISE 중소형고배당,-0.6757790144885664
RISE 중장기국공채액티브,-0.19678153894620262
RISE 차이나HSCEI(H),-0.5000265528798479
RISE 차이나H선물인버스(H),0.47497586676973375
RISE 차이나항셍테크,-0.38248710633160254
RISE 채권혼합,-0.7290505956453747
RISE 컨택트대표,-0.5853901674401193
RISE 코스닥150,-0.7264531474989463
RISE 코스닥150선물레버리지,-0.7396616598878875
RISE 코스닥150선물인버스,0.7374249922615235
RISE 코스피,-0.9646470544205221
RISE 팔라듐선물(H),-0.1925780563207933
RISE 팔라듐선물인버스(H),0.2030819705331983
RISE 헬스케어,-0.6008215105075593
RISE 헬스케어채권혼합,-0.5582245790170485
SOL 200TR,-0.9841682839293013
SOL KIS단기통안채,-0.039236713843192175
SOL KRX300,-0.7968324963415901
SOL 차이나강소기업CSI500(합성 H),-0.24303348857416684
TIGER 200 IT,-0.8960083068955983
TIGER 200 건설,-0.6066551770083703
TIGER 200 경기소비재,-0.6663912128898474
TIGER 200 금융,-0.6318066159416972
TIGER 200 산업재,-0.7269324694795117
TIGER 200 생활소비재,-0.5625897516257296
TIGER 200 에너지화학,-0.7195824931047029
TIGER 200 중공업,-0.5742906981663108
TIGER 200 철강소재,-0.6104212610962181
TIGER 200 헬스케어,-0.5193917382377564
TIGER 200,-0.991665464339317
TIGER 200IT레버리지,-0.8623700182116472
TIGER 200TR,-0.9910457673832855
TIGER 200동일가중,-0.7470852279921305
TIGER 200선물레버리지,-0.9958716129519054
TIGER 200선물인버스2X,0.9942427223675553
TIGER 200에너지화학레버리지,-0.7122863614150894
TIGER 200커뮤니케이션서비스,-0.6639388368276185
TIGER 200커버드콜5%OTM,-0.9443499426939045
TIGER 200커버드콜ATM,-0.8217801600728647
TIGER 2차전지TOP10,-0.5444524834702495
TIGER 2차전지테마,-0.5369493273548833
TIGER AI코리아그로스액티브,-0.9514716386629171
TIGER BBIG,-0.7415044720125118
TIGER CD금리투자KIS(합성),-0.05659713459910724
TIGER Fn반도체TOP10,-0.7728375370630866
TIGER Fn신재생에너지,-0.6014213957304461
TIGER KRX300,-0.9206755656431244
TIGER KTOP30,-0.9262352232807796
TIGER K게임,-0.5156082509452403
TIGER LG그룹+펀더멘털,-0.7963699639127524
TIGER MSCI KOREA ESG리더스,-0.886599576131663
TIGER MSCI KOREA ESG유니버설,-0.8963660696893507
TIGER MSCI Korea TR,-0.9667573826082362
TIGER S&P글로벌인프라(합성),-0.0809374044335448
TIGER S&P글로벌헬스케어(합성),-0.24948403838204458
TIGER TOP10,-0.9303789071808037
TIGER 게임TOP10,-0.5167205047657702
TIGER 경기방어,-0.6419286351931978
TIGER 경기방어채권혼합,-0.14577392907665443
TIGER 골드선물(H),-0.22463361363040663
TIGER 구리실물,0.0019358592183492934
TIGER 국채3년,-0.18624707442352326
TIGER 글로벌4차산업혁신기술(합성 H),-0.7177594087482992
TIGER 글로벌BBIG액티브,-0.5586377183295115
TIGER 글로벌리튬&2차전지SOLACTIVE(합성),-0.5141993859653808
TIGER 글로벌자원생산기업(합성 H),-0.4248395566044206
TIGER 글로벌자율주행&전기차SOLACTIVE,-0.6271620333456501
TIGER 글로벌클라우드컴퓨팅INDXX,-0.4652660417424237
TIGER 금속선물(H),-0.25401062414358755
TIGER 금은선물(H),-0.2081876764032876
TIGER 농산물선물Enhanced(H),-0.07976332645731814
TIGER 단기선진하이일드(합성 H),-0.2368963338557391
TIGER 단기채권액티브,-0.06205694898390713
TIGER 단기통안채,-0.046808098207397904
TIGER 라틴35,-0.2420261149765314
TIGER 레버리지,-0.9835763200877077
TIGER 로우볼,-0.6441526672960285
TIGER 리츠부동산인프라,-0.43498457595550777
TIGER 리츠부동산인프라채권TR KIS,-0.38091957707754776
TIGER 모멘텀,-0.6810066780299234
TIGER 미국MSCI리츠(합성 H),-0.4854306327592388
TIGER 미국S&P500,-0.46874938214004663
TIGER 미국S&P500레버리지(합성 H),-0.6818115602487969
TIGER 미국S&P500선물(H),-0.679836157710945
TIGER 미국S&P500선물인버스(H),0.6882710944127745
TIGER 미국나스닥100,-0.521308405643465
TIGER 미국나스닥바이오,-0.38105280164054456
TIGER 미국다우존스30,-0.35053185299705997
TIGER 미국달러단기채권액티브,0.5342998976877745
TIGER 미국달러선물레버리지,0.5454828344191922
TIGER 미국달러선물인버스2X,-0.540387430102337
TIGER 미국채10년선물,0.4284225252207796
TIGER 미국테크TOP10 INDXX,-0.529118508619174
TIGER 미국필라델피아반도체나스닥,-0.5955203444415136
TIGER 미디어컨텐츠,-0.5111448413750601
TIGER 바이오TOP10,-0.5181334546276477
TIGER 반도체,-0.766695503044719
TIGER 방송통신,-0.5032683039216452
TIGER 배당성장,-0.7792065326416289
TIGER 삼성그룹펀더멘털,-0.8824496672750513
TIGER 소프트웨어,-0.7007278021905154
TIGER 여행레저,-0.53182837512551
TIGER 우량가치,-0.6687664681100356
TIGER 우선주,-0.8090352077728713
TIGER 원유선물Enhanced(H),-0.2059295049133877
TIGER 원유선물인버스(H),0.19921675378979783
TIGER 유로스탁스50(합성 H),-0.6659724514838218
TIGER 유로스탁스레버리지(합성 H),-0.6591268013352665
TIGER 유로스탁스배당30,-0.49379518470428024
TIGER 은행,-0.6087461506881425
TIGER 의료기기,-0.5809208674428034
TIGER 인도니프티50레버리지(합성),-0.2676294164705869
TIGER 인터넷TOP10,-0.6829162293511253
TIGER 일본TOPIX(합성 H),-0.5641836127465596
TIGER 일본니케이225,-0.5445249211971634
TIGER 일본엔선물,0.37193230544219685
TIGER 중국소비테마,-0.5760971050542922
TIGER 중장기국채,-0.18358906555094592
TIGER 증권,-0.6759424956668332
TIGER 지주회사,-0.7175689694568923
TIGER 차이나CSI300,-0.1764407707872975
TIGER 차이나CSI300레버리지(합성),-0.1498932087706495
TIGER 차이나CSI300인버스(합성),0.15105179861548237
TIGER 차이나HSCEI,-0.36353422014769604
TIGER 차이나바이오테크SOLACTIVE,-0.19238833836856617
TIGER 차이나반도체FACTSET,-0.1410114089564786
TIGER 차이나전기차SOLACTIVE,-0.11414393467482628
TIGER 차이나클린에너지SOLACTIVE,-0.09292342739575066
TIGER 차이나항셍25,-0.34454687392760885
TIGER 차이나항셍테크,-0.39416627247009156
TIGER 코스닥150 레버리지,-0.7362488169074555
TIGER 코스닥150,-0.7321031039874605
TIGER 코스닥150IT,-0.7373703163603729
TIGER 코스닥150바이오테크,-0.5831745804972278
TIGER 코스닥150선물인버스,0.7398247572940596
TIGER 코스피,-0.9606041023962985
