ETF2,Correlation
ACE 200,0.5483278602285696
ACE 200TR,0.5459638272134852
ACE 2차전지&친환경차액티브,0.3045765471729372
ACE ESG액티브,0.5412256291163695
ACE Fn5G플러스,0.5001915633152221
ACE Fn성장소비주도주,0.4009324184846931
ACE 골드선물 레버리지(합성 H),0.1260946696756462
ACE 국고채10년,0.14074798662757387
ACE 국고채3년,0.1309189711287717
ACE 단기통안채,0.022906599041235834
ACE 러시아MSCI(합성),0.05930701518743631
ACE 레버리지,0.5495685695673487
ACE 멕시코MSCI(합성),0.3059978346719541
ACE 미국IT인터넷S&P(합성 H),0.46165088109021885
ACE 미국S&P500,0.6246773963927081
ACE 미국WideMoat동일가중,0.5758342117904574
ACE 미국나스닥100,0.6316007004122896
ACE 미국다우존스리츠(합성 H),0.3561834159343965
ACE 미국친환경그린테마INDXX,0.5473001825823159
ACE 밸류대형,0.5057335449828559
ACE 베트남VN30(합성),0.227873875887583
ACE 베트남VN30선물블룸버그레버리지(H),0.26688479769063295
ACE 삼성그룹동일가중,0.3240537144344059
ACE 삼성그룹섹터가중,0.4912572631965107
ACE 싱가포르리츠,0.27218530873697205
ACE 아시아TOP50S&P,0.42832995011928865
ACE 인도네시아MSCI(합성),0.2873339619375417
ACE 인버스,-0.5456335807760996
ACE 일본Nikkei225(H),0.8255158310352678
ACE 일본TOPIX레버리지(H),0.654471283782063
ACE 일본TOPIX인버스(합성 H),-0.7800481767007865
ACE 종합채권(AA-이상)KIS액티브,0.0646730982489619
ACE 중국본토CSI300,0.1543217539819352
ACE 중국본토CSI300레버리지(합성),0.18123938807203155
ACE 중장기국공채액티브,0.12803039529907506
ACE 차이나항셍테크,0.2460910455760263
ACE 코스닥150,0.4292566794486368
ACE 코스피,0.5172065015760673
ACE 필리핀MSCI(합성),0.21651071636778074
BNK금융지주,0.2821803230647962
HANARO 200,0.5487802265153001
HANARO 200TR,0.5497732450979919
HANARO 200선물레버리지,0.5421996689567161
HANARO 200선물인버스,-0.5583258212627016
HANARO e커머스,0.39435039455145254
HANARO Fn K-POP&미디어,0.32218288585582544
HANARO Fn K-게임,0.3297380695482404
HANARO Fn K-뉴딜디지털플러스,0.41145472963952967
HANARO Fn K-반도체,0.4970367072121754
HANARO Fn5G산업,0.5072284087386515
HANARO Fn전기&수소차,0.4368930347611993
HANARO Fn친환경에너지,0.33926629980767253
HANARO KAP초장기국고채,0.12099740585918192
HANARO KRX300,0.5397929979599828
HANARO MSCI Korea TR,0.5173802833250226
HANARO 고배당,0.3749219736555435
HANARO 글로벌럭셔리S&P(합성),0.49246801128415374
HANARO 농업융복합산업,0.38542286788332003
HANARO 단기채권액티브,0.013382465991904463
HANARO 코스닥150,0.43067835511197256
HANARO 코스닥150선물레버리지,0.4271924555719768
HANARO 탄소효율그린뉴딜,0.4992187389324345
KODEX 200 중소형,0.4710545265998391
KODEX 200,0.5461307425338389
KODEX 200ESG,0.5163679457833915
KODEX 200exTOP,0.5027620367742075
KODEX 200IT TR,0.529702334578737
KODEX 200TR,0.5392478530312965
KODEX 200가치저변동,0.4880487090479548
KODEX 200동일가중,0.4864794278617544
KODEX 200롱코스닥150숏선물,-0.13438313122383058
KODEX 200미국채혼합,0.5047331030397944
KODEX 200선물인버스2X,-0.5456025695753209
