ETF2,Correlation
ACE 200,-0.37038030304287867
ACE 200TR,-0.37542483491949385
ACE 2차전지&친환경차액티브,-0.269279958634247
ACE ESG액티브,-0.38630150656865847
ACE Fn5G플러스,-0.3119133154478251
ACE Fn성장소비주도주,-0.2932172301584728
ACE 골드선물 레버리지(합성 H),0.0547363466858106
ACE 국고채10년,0.09024576576650922
ACE 국고채3년,0.043099124437459335
ACE 단기통안채,0.04246721202102649
ACE 러시아MSCI(합성),-0.1207221487746235
ACE 레버리지,-0.3762764253700961
ACE 멕시코MSCI(합성),-0.1346867855895938
ACE 미국IT인터넷S&P(합성 H),-0.22349677248912125
ACE 미국S&P500,-0.1839074794493708
ACE 미국WideMoat동일가중,-0.1360788110551772
ACE 미국나스닥100,-0.21183768842133896
ACE 미국다우존스리츠(합성 H),-0.1527339185449875
ACE 미국친환경그린테마INDXX,-0.18594867673019905
ACE 밸류대형,-0.36708137602191826
ACE 베트남VN30(합성),-0.0694159616980956
ACE 베트남VN30선물블룸버그레버리지(H),-0.20404089900070585
ACE 삼성그룹동일가중,-0.18154567379893613
ACE 삼성그룹섹터가중,-0.26943641086923537
ACE 싱가포르리츠,0.027369524608602064
ACE 아시아TOP50S&P,-0.28664470722113367
ACE 인도네시아MSCI(합성),-0.03174203841817357
ACE 인버스,0.37193243300698314
ACE 일본Nikkei225(H),-0.4576239656285259
ACE 일본TOPIX레버리지(H),-0.38877022499851754
ACE 일본TOPIX인버스(합성 H),0.4364028031821711
ACE 종합채권(AA-이상)KIS액티브,0.100104328885017
ACE 중국본토CSI300,-0.08829147755987528
ACE 중국본토CSI300레버리지(합성),-0.1126601782333849
ACE 중장기국공채액티브,0.07644456904861902
ACE 차이나항셍테크,-0.23170261176457868
ACE 코스닥150,-0.32601579080380677
ACE 코스피,-0.37052270730341597
ACE 필리핀MSCI(합성),-0.0029348804116098135
BNK금융지주,-0.22078092829731163
HANARO 200,-0.37509749779891716
HANARO 200TR,-0.3753334196545012
HANARO 200선물레버리지,-0.37224119952710805
HANARO 200선물인버스,0.36918798493536026
HANARO e커머스,-0.24867939813357143
HANARO Fn K-POP&미디어,-0.17958176944494283
HANARO Fn K-게임,-0.1922595541161227
