ETF2,Correlation
ACE 200,0.07900164507727417
ACE 200TR,0.08662710908592251
ACE 2차전지&친환경차액티브,0.10840711899083527
ACE ESG액티브,0.07150969924048207
ACE Fn5G플러스,0.12425304321365364
ACE Fn성장소비주도주,0.13588267956324623
ACE 골드선물 레버리지(합성 H),0.019070963115219497
ACE 국고채10년,0.05116548408619974
ACE 국고채3년,0.00031233002648657757
ACE 단기통안채,0.00019788392979764173
ACE 러시아MSCI(합성),-0.02361041763931612
ACE 레버리지,0.08638003503741781
ACE 멕시코MSCI(합성),0.06343079298788913
ACE 미국IT인터넷S&P(합성 H),0.02854296513186505
ACE 미국S&P500,0.11006071104091888
ACE 미국WideMoat동일가중,0.06931174122323178
ACE 미국나스닥100,0.10715394414251332
ACE 미국다우존스리츠(합성 H),0.025986905922725307
ACE 미국친환경그린테마INDXX,0.16327492668177943
ACE 밸류대형,0.02915949930067898
ACE 베트남VN30(합성),0.08975832987835446
ACE 베트남VN30선물블룸버그레버리지(H),0.06659503320969339
ACE 삼성그룹동일가중,0.061363823766310686
ACE 삼성그룹섹터가중,0.08518551317662887
ACE 싱가포르리츠,0.1087926222255251
ACE 아시아TOP50S&P,0.2378812189298391
ACE 인도네시아MSCI(합성),0.05292641422904197
ACE 인버스,-0.08210220944371682
ACE 일본Nikkei225(H),0.08066540048382907
ACE 일본TOPIX레버리지(H),0.06382857380129044
ACE 일본TOPIX인버스(합성 H),-0.09821864259719794
ACE 종합채권(AA-이상)KIS액티브,0.049687177161552104
ACE 중국본토CSI300,0.5419128311054404
ACE 중국본토CSI300레버리지(합성),0.5437116528234555
ACE 중장기국공채액티브,0.04438447040174559
ACE 차이나항셍테크,0.35068271040595883
ACE 코스닥150,0.1436831549254489
ACE 코스피,0.08813427184164913
ACE 필리핀MSCI(합성),-0.00807593439625966
BNK금융지주,-0.03939285028679172
HANARO 200,0.08991221975971117
HANARO 200TR,0.088213840501929
HANARO 200선물레버리지,0.08651026072967109
HANARO 200선물인버스,-0.09693960122370665
HANARO e커머스,0.11831916940180838
HANARO Fn K-POP&미디어,0.10473519495638786
HANARO Fn K-게임,0.11452353758057669
HANARO Fn K-뉴딜디지털플러스,0.13590241199584607
HANARO Fn K-반도체,0.09626406782185412
HANARO Fn5G산업,0.1294820475966034
HANARO Fn전기&수소차,0.09045499119727343
HANARO Fn친환경에너지,0.14804965126128122
HANARO KAP초장기국고채,0.06904526599804232
HANARO KRX300,0.08488323055432906
HANARO MSCI Korea TR,0.06900378677161347
HANARO 고배당,-0.010339204896806519
HANARO 글로벌럭셔리S&P(합성),0.04244069531833102
HANARO 농업융복합산업,0.04002954070718717
HANARO 단기채권액티브,0.016414759699983614
HANARO 코스닥150,0.1429427371314286
HANARO 코스닥150선물레버리지,0.15597447992894334
HANARO 탄소효율그린뉴딜,0.10241350217283601
KODEX 200 중소형,0.08376021692357234
KODEX 200,0.08973780736712382
KODEX 200ESG,0.08100386930412112
KODEX 200exTOP,0.07589333873004879
KODEX 200IT TR,0.09283707745560194
KODEX 200TR,0.08942019153383489
KODEX 200가치저변동,0.01505210791271437
KODEX 200동일가중,0.06694065972378115
KODEX 200롱코스닥150숏선물,-0.13986862691924573
KODEX 200미국채혼합,0.12117773245202058
KODEX 200선물인버스2X,-0.09263993589844671
KODEX 2차전지산업,0.10558177661149847
KODEX 3대농산물선물(H),-0.02663394857934078
KODEX IT,0.12768549433168075
KODEX K-뉴딜디지털플러스,0.12876098826787696
KODEX K-미래차액티브,0.11010049470102651
KODEX K-신재생에너지액티브,0.13748342083815712
KODEX K-이노베이션액티브,0.16680483974842827
KODEX KRX300,0.10090349625315288
KODEX KRX300레버리지,0.10162300467841888
KODEX KTOP30,0.07638460069782593
KODEX MSCI EM선물(H),0.15164000974004987
KODEX MSCI KOREA ESG유니버설,0.04444494223095657
KODEX MSCI Korea TR,0.07748689853627383
KODEX MSCI Korea,0.05425664234921978
KODEX MSCI모멘텀,0.08540479200547173
KODEX MSCI밸류,0.040224443688524236
KODEX MSCI퀄리티,0.09274214988385299
KODEX S&P글로벌인프라(합성),0.07333252102800973
KODEX Top10동일가중,0.11160207991994843
KODEX Top5PlusTR,0.057265308870821346
KODEX TRF3070,0.05234380010067399
KODEX TRF5050,0.06479699809958711
KODEX TRF7030,0.07569008658736893
KODEX WTI원유선물(H),-0.0014082195529565586
KODEX WTI원유선물인버스(H),-0.004614983748176042
KODEX 건설,0.1006294437160607
KODEX 게임산업,0.12244224065788283
KODEX 경기소비재,0.08444631979754977
KODEX 고배당,0.014341384007025062
KODEX 골드선물(H),0.010876341564425438
KODEX 골드선물인버스(H),-0.012152773450893252
KODEX 구리선물(H),0.035310527516516775
KODEX 국고채3년,-0.00024004160494908578
KODEX 국채선물10년,0.04495947706570158
KODEX 국채선물10년인버스,-0.05864876957378817
KODEX 국채선물3년인버스,-0.05092361598980432
KODEX 글로벌로봇(합성),0.11110619412551695
KODEX 기계장비,0.09577173434222282
KODEX 단기변동금리부채권액티브,0.016381181292683938
KODEX 단기채권,0.015836749755822527
KODEX 단기채권PLUS,-0.022921241229075125
