ETF2,Correlation
ACE 200,0.961816372962345
ACE 200TR,0.9544184754936207
ACE 2차전지&친환경차액티브,0.6405109146904742
ACE ESG액티브,0.9203899948898214
ACE Fn5G플러스,0.7980181069564687
ACE Fn성장소비주도주,0.6630658153646668
ACE 골드선물 레버리지(합성 H),0.21766723961173193
ACE 국고채10년,0.15416287089237482
ACE 국고채3년,0.19296073704361338
ACE 단기통안채,-0.025207523275915633
ACE 러시아MSCI(합성),0.06798945596808274
ACE 레버리지,0.9612513540026606
ACE 멕시코MSCI(합성),0.31464056406807284
ACE 미국IT인터넷S&P(합성 H),0.506357195287958
ACE 미국S&P500,0.4495620315777819
ACE 미국WideMoat동일가중,0.4482520458889803
ACE 미국나스닥100,0.4951541750553225
ACE 미국다우존스리츠(합성 H),0.4345759702243756
ACE 미국친환경그린테마INDXX,0.4777337852024587
ACE 밸류대형,0.9192539653961432
ACE 베트남VN30(합성),0.1372783024391692
ACE 베트남VN30선물블룸버그레버리지(H),0.33264510199787467
ACE 삼성그룹동일가중,0.7018457426034266
ACE 삼성그룹섹터가중,0.8763698059273387
ACE 싱가포르리츠,0.19556845483101484
ACE 아시아TOP50S&P,0.5956407023993784
ACE 인도네시아MSCI(합성),0.25170051066882554
ACE 인버스,-0.9499287312609047
ACE 일본Nikkei225(H),0.632728683013241
ACE 일본TOPIX레버리지(H),0.4759150097011602
ACE 일본TOPIX인버스(합성 H),-0.6444069012982635
ACE 종합채권(AA-이상)KIS액티브,0.12235286206563914
ACE 중국본토CSI300,0.14853119935663733
ACE 중국본토CSI300레버리지(합성),0.16683284900236464
ACE 중장기국공채액티브,0.18649805653248344
ACE 차이나항셍테크,0.36428329060925574
ACE 코스닥150,0.7653792396479051
ACE 코스피,0.9637569955713017
ACE 필리핀MSCI(합성),0.16186834336848954
BNK금융지주,0.47517251993298004
HANARO 200,0.964700363974872
HANARO 200TR,0.9555577661520099
HANARO 200선물레버리지,0.9514383612032495
HANARO 200선물인버스,-0.9352046948236988
HANARO e커머스,0.7146727572873459
HANARO Fn K-POP&미디어,0.4886319260363103
HANARO Fn K-게임,0.5358323807503431
HANARO Fn K-뉴딜디지털플러스,0.7808910175001627
HANARO Fn K-반도체,0.789660155965151
