ETF2,Correlation
AAXJ,0.7143105184334303
ACWI,0.9482492335416609
ACWV,0.857798565318346
ACWX,0.8552668370626112
AFK,0.6136805471359844
AGG,0.07550624563404415
AGQ,0.21532294427672227
AGZD,0.08310228867360334
AIA,0.6668163951587296
AMLP,0.5806116153948885
ANGL,0.62962893262565
AOA,0.9400199419695161
AOK,0.779867314667592
AOM,0.8516072245349178
AOR,0.9176312390314719
ARGT,0.6368156631212545
ASEA,0.6267729546390709
ASHR,0.38596782580392747
BAB,0.01254379821830494
BIL,-0.0027738399584213438
BIV,-0.012149917328167028
BIZD,0.6544162140408925
BKLN,0.5947736738764322
BLV,0.009910245552383507
BND,0.07488702873976838
BNDX,0.08031383699383518
BNO,0.33412503041051844
BOIL,0.09395633098522695
BOND,0.11676756728872693
BRZU,0.5364143380581246
BSV,-0.009992137572733324
BTAL,-0.35954488946331814
BWX,0.13012511751558997
BWZ,0.14133444289134195
BZQ,-0.5141081008434933
CANE,0.12378706947657064
CEMB,0.3546048624249073
CGW,0.8664994565518412
CHIQ,0.5128729107608909
CMBS,-0.047953627763080355
CMF,0.08165015940625843
COPX,0.6411028691711365
CORN,0.07363665832762034
CORP,0.1912142205490099
CPER,0.24309114215731922
CQQQ,0.5124932413403137
CURE,0.7797970642933147
CWB,0.8371800378573476
CWI,0.8573117810460007
CXSE,0.4685230087173372
DBA,0.20928117961642229
DBB,0.31397568366550554
DBC,0.3753460334781408
DBEF,0.8198565889571519
DBEU,0.8177412055962926
DBJP,0.7028013867397328
DBO,0.35519098669664023
DDM,0.939760963101725
DEM,0.7114146735389566
DES,0.8906742757592137
DEW,0.8777311868469628
DFJ,0.6813357471476128
DGP,-0.002785518270730827
DGRE,0.697935354417165
DGRS,0.8707900099199083
DGRW,0.9417605798346799
DGS,0.7335267635287483
DHS,0.8791346934245701
DIA,0.9404570427918767
DIG,0.6729409571421485
DIV,0.7807087340125057
DJP,0.36196501913296353
DLN,0.9415992527945001
DLS,0.8276511492655303
DNL,0.8196460082084785
DOG,-0.9384391953619496
DON,0.9311520872450164
DRN,0.719578809378604
DRV,-0.739332255804455
DSI,0.9559088170827973
DTD,0.9485258363313377
DTH,0.8048695509259363
DUG,-0.6870995971069822
DUST,-0.15582253891637282
DVY,0.874769555920479
DVYE,0.6865046149190751
DWAS,0.845029987947801
DWM,0.836373569192193
DXD,-0.9393954506480106
DXJ,0.7013441961005732
DXJS,0.6534949579419772
EBND,0.48903940662098433
ECH,0.5582235127514752
ECNS,0.4557634760988387
EDC,0.7424016246396241
EDIV,0.6771341968678003
EDV,-0.2208855712874235
EDZ,-0.7435785293901431
EELV,0.7049667613533618
EEM,0.7435029384542002
EEMA,0.6995435587345691
EEMV,0.7236055246804814
EFA,0.8517348010151208
EFG,0.837795340988242
EFV,0.8206753025735142
EFZ,-0.8545586928876417
EIDO,0.5976579964619777
EMB,0.5648399908318915
EMHY,0.6172224013640989
EMLC,0.5020034605418288
ENFR,0.6729780640553983
ENOR,0.7080481961029043
ENZL,0.6210326321752937
EPHE,0.5684139896560373
EPI,0.6086314531521708
EPOL,0.6213954038847398
EPP,0.7889024421073226
EPS,0.9639596292021264
EPV,-0.8284646606085126
EQWL,0.9276025912287406
ERX,0.6834728356317803
ERY,-0.6965755785883504
EUFN,0.7562500440844904
EUM,-0.742898866189183
EURL,0.8250269657514322
