ETF2,Correlation
AAXJ,-0.11079462951350705
ACWI,-0.14351002113781075
ACWV,-0.0719519447037355
ACWX,-0.12352060816869705
AFK,-0.05697341218173399
AGG,0.7289845415481453
AGQ,0.19950677476057618
AGZD,-0.10954925306287741
AIA,-0.09835635186289225
AMLP,-0.1158880204319965
ANGL,0.10359592538749099
AOA,-0.0836900707897377
AOK,0.2533653015900548
AOM,0.12915846390586597
AOR,-0.013067608726853175
ARGT,-0.06844448997110773
ASEA,-0.08470438716863626
ASHR,-0.0983457411806251
BAB,0.569534607626565
BIL,0.006036810853894726
BIV,0.7599361623373706
BIZD,-0.081064241064971
BKLN,-0.09202055418081696
BLV,0.7097608766903513
BND,0.699919871867125
BNDX,0.5784909698590667
BNO,-0.1434192411631134
BOIL,-0.03480875026882259
BOND,0.6387134918333184
BRZU,-0.08323545295568668
BSV,0.6378077834092913
BTAL,0.05561076497429088
BWX,0.5393506532379275
BWZ,0.28533467693779196
BZQ,0.0881252686451146
CANE,-0.034505489357983296
CEMB,0.19832811546236823
CGW,-0.0572312705604459
CHIQ,-0.08973594197118953
CMBS,0.47654847377828136
CMF,0.1676331719342899
COPX,-0.15135508690364752
CORN,-0.017889761341477108
CORP,0.5632825616265053
CPER,-0.05791761823406851
CQQQ,-0.09752787399091667
CURE,-0.1184994219901507
CWB,-0.07267771759456228
CWI,-0.12176166981869088
CXSE,-0.0905753668011831
DBA,-0.06586141844773566
DBB,-0.05052126561736972
DBC,-0.10009543992405888
DBEF,-0.24188707516119873
DBEU,-0.20685465699638986
DBJP,-0.262650173372696
DBO,-0.13911282874461914
DDM,-0.17664652143770643
DEM,-0.1074823810284088
DES,-0.1534157518823852
DEW,-0.14253321731279406
DFJ,-0.07566911104493801
DGP,0.3079600897328098
DGRE,-0.10021044729399874
DGRS,-0.18927317514126213
DGRW,-0.1577530414578556
DGS,-0.08379794529696502
DHS,-0.14249727290160744
DIA,-0.18101130814457667
DIG,-0.18674950736229298
DIV,-0.059330430990778206
DJP,-0.045631502772143194
DLN,-0.16733590129743517
DLS,-0.09040651123613981
DNL,-0.08791996962553092
DOG,0.1806483113427904
DON,-0.15988773130404166
DRN,0.07653868728817165
DRV,-0.04077908383094388
DSI,-0.1381583680711256
DTD,-0.1647081540498862
DTH,-0.13840610856852753
DUG,0.19482985032350558
DUST,-0.20892036114999926
DVY,-0.14935438601147913
DVYE,-0.09858533913597758
DWAS,-0.1262276927094234
DWM,-0.12619037397262872
DXD,0.18068053931970965
DXJ,-0.2863819239078147
DXJS,-0.2530651425082979
EBND,0.18056627037747006
ECH,-0.06413894918426755
ECNS,-0.10030591413764486
EDC,-0.1071947553036183
EDIV,-0.10471787685997672
EDV,0.7272210626918411
EDZ,0.10939554779177148
EELV,-0.07218483767458934
EEM,-0.11252368413084525
EEMA,-0.10999926970160656
EEMV,-0.09436481576140895
EFA,-0.12246959026862582
EFG,-0.06909524477129346
EFV,-0.16654743026750285
EFZ,0.12544559588202372
EIDO,-0.06483623152206078
EMB,0.29097361396819643
EMHY,0.1041656448831212
EMLC,0.15144015659797858
ENFR,-0.1177666128197476
ENOR,-0.1331282589984167
ENZL,0.003442682070074282
EPHE,-0.035851555455485434
EPI,-0.0976322240690199
EPOL,-0.06151865784851252
EPP,-0.12135911478919334
EPS,-0.17515583959552702
EPV,0.11915588654106261
EQWL,-0.16444781265819972
ERX,-0.18551273254992282
ERY,0.19482524472613688
EUFN,-0.21335847056775056
EUM,0.11077763483646598
EURL,-0.11458079008323362
EUSA,-0.14220993060472323
EWA,-0.1052702788672351
EWC,-0.10866425287691689
EWD,-0.10605756785048295
EWG,-0.11422298601910064
EWH,-0.14018785033687278
EWI,-0.1415635711725077
EWJ,-0.08857867671488516
EWL,-0.04545386147797286
EWM,-0.05870880278338772
EWP,-0.1370166153108505
EWQ,-0.12093200424637222
EWS,-0.10986623835575472
EWT,-0.09372453439880903
EWU,-0.14984628365820934
EWV,0.08787842013439817
EWW,-0.07792107164125774
EWX,-0.1086373668605032
EWY,-0.08576822008106522
EWZ,-0.10117090201548752
EWZS,-0.051988965059746414
EZA,-0.01845139515185464
EZU,-0.12104611537553685
FAN,-0.016205468188181794
FAS,-0.22614541927873957
FAZ,0.23133766633794423
FBT,-0.06213737417962313
FCA,-0.10124068497805797
FCG,-0.16713785527719055
FCOM,-0.08193575678804797
FDD,-0.1148790583300821
FDIS,-0.09350110801140364
FDL,-0.1478082285686222
FDN,-0.07390908683619352
FDT,-0.11604771710441084
FEM,-0.10184986494164598
FEMS,-0.10526429499496398
FENY,-0.19790363793086516
FEZ,-0.12474485771145302
FGD,-0.15182022229805367
FHLC,-0.11457188638719047
FIDU,-0.1731738593661754
FIW,-0.10394350343330909
FLOT,-0.046863981999938714
FLRN,-0.01990608932269955
FLTR,-0.02130477799248895
FM,-0.08872662468658328
FMAT,-0.15146049320624438
FMF,-0.04028459309340851
FNCL,-0.24665325375711133
FNDA,-0.15210700936957272
FNDB,-0.1806448419163246
FNDC,-0.09376589601738947
FNDE,-0.12047439457484807
FNDF,-0.14871693838727
FNDX,-0.18493080767541117
FPE,0.023349474602932834
FRI,0.026656902371716272
FSTA,-0.08712745373265308
FTA,-0.17918058192172887
FTC,-0.11268578822631015
FTCS,-0.14102818431235079
FTEC,-0.11722335427785735
FTGC,-0.06811880004032664
FTQI,-0.07093942314363882
FTRI,-0.14040419244267557
FTSL,0.011574379326705674
FUTY,0.04427833808445983
FVD,-0.12050785352497387
FXH,-0.09613469753347342
FXI,-0.10509975178376504
FXL,-0.1080083030575831
FXN,-0.1873694697166045
FXO,-0.20668335563393678
FXR,-0.16308753109723056
FXU,0.006165569831594921
FXY,0.4265155802152532
FXZ,-0.17039359380530572
FYLD,-0.15254323603193837
GCC,-0.04686083995614975
GDX,0.23744995540907962
GDXJ,0.21097248114789957
GLD,0.33580952217849913
GLTR,0.2562395856827144
GMF,-0.11521153585584926
GNR,-0.16194254959476703
GOVI,0.7825445220638327
GOVT,0.784021667269619
GREK,-0.1417524310441306
GRID,-0.1034737124111271
GRPM,-0.14643989235614643
GSG,-0.12156107757203502
GSY,0.11743360639210737
GUNR,-0.14171031413586851
GVI,0.707518704610918
GWX,-0.07443299265262504
GXC,-0.1074362614076961
HAUZ,-0.036015134765592996
HDGE,0.12001471872862152
HEDJ,-0.20086032208161955
HYD,0.15035955428662554
HYEM,0.08518012566579587
HYG,0.044961487434849956
HYLS,0.07990338638201329
HYMB,0.10005597001440514
HYS,0.03134466032360726
HYZD,-0.11570898729271142
IAI,-0.2399974566012265
IAK,-0.25392605758894105
IAT,-0.26576249645116273
IAU,0.3374481446334047
IBB,-0.06685913242700206
IBND,0.3357959598442866
ICF,0.04903865404764762
ICLN,-0.02764049153065716
ICSH,0.04959334138422313
IDHQ,-0.07972692902320444
IDLV,-0.05909154791702382
IDMO,-0.10573220543152491
IDU,0.04534287183032848
IDV,-0.13527967115665893
IDX,-0.05695306890611571
IEF,0.8149105937227208
IEFA,-0.11763243913154796
IEI,0.7849375307551202
IEMG,-0.1126844980263718
IEO,-0.1911467808846057
IEV,-0.12452784663905431
IEZ,-0.19857126654841964
IGE,-0.1580793434228317
IGF,-0.0503723098059865
IGIB,0.5886746405809484
IGLB,0.5726552437222041
IGM,-0.10444339303481527
IGOV,0.5267386008901732
IGPT,-0.07492554091698285
IGSB,0.38434622186074197
IGV,-0.06797260157611075
IHE,-0.12279361608250364
IHF,-0.14019269225598263
IHI,-0.07821298515760726
IJH,-0.15490637492601259
IJJ,-0.16568785830043287
IJK,-0.1256790562258628
IJR,-0.14970734590346074
IJS,-0.12780091502316143
IJT,-0.15041440689615432
ILCB,-0.14709169631627284
ILCG,-0.09581194358472578
ILCV,-0.18655003232249467
ILF,-0.11909231557662986
ILTB,0.7014581007918204
IMCB,-0.15884728286140545
IMCG,-0.10170238512952112
IMCV,-0.15841521698712724
INCO,-0.05734222168026729
INDA,-0.10746783014219417
INDL,-0.09792517013566875
INDY,-0.09469991286355667
IOO,-0.1539670950838402
ISCG,-0.111206706747695
ISHG,0.28362553317842315
ISTB,0.550917135836565
ITA,-0.16053610019242662
ITB,0.032841344384529715
ITM,0.3437576732650721
ITOT,-0.1466273890665949
IUSV,-0.1835904789531894
IVE,-0.18647735522381662
IVOO,-0.15714901867468897
IVV,-0.15282386235035156
IVW,-0.11379705990593225
IWB,-0.15000028226965467
IWC,-0.13582514991248373
IWD,-0.18162308364798926
IWF,-0.10908107404463857
IWL,-0.15176505090303177
IWM,-0.13706696413520914
IWN,-0.1552162577447033
IWO,-0.11394995796831672
IWP,-0.09804080969791555
IWR,-0.13917059222780703
IWS,-0.14869614807981996
IWV,-0.15358365879747696
IWX,-0.19702522087735141
IWY,-0.10467797558007651
IXC,-0.19221575401355637
IXJ,-0.10124199205835564
IXN,-0.1205266253950967
IXUS,-0.12025269737854064
IYC,-0.10577142178557625
IYE,-0.19044023937796373
IYF,-0.22282888493291622
IYG,-0.2549460802887182
IYH,-0.10924713562969779
IYJ,-0.16591627290086225
IYK,-0.10955325721731116
IYR,0.04512078304480533
IYT,-0.17816333338351273
IYY,-0.14823723837228786
IYZ,-0.0973953615921715
JDST,-0.18691073845468584
JNK,0.04201412480725727
JNUG,0.20114169334641335
JPXN,-0.0895594056672099
JXI,0.029476370734447952
KBE,-0.2571199193456416
KBWB,-0.27845511608527257
KBWP,-0.19552841460499154
KBWY,-0.00810794758777523
KCE,-0.17908640508820475
KIE,-0.23389227908525304
KOLD,0.03617999123250253
KORU,-0.05364401621200422
KRE,-0.2622812029329624
KWEB,-0.08035270907457562
LDUR,0.21432529303636208
LEMB,0.11189634412929646
LIT,-0.10749258785226086
LQD,0.5738359239203331
LTPZ,0.6213976517099601
MBB,0.6625459772631919
MCHI,-0.10166754006133746
MDIV,-0.03160120919165398
MDY,-0.15279919552231436
MDYG,-0.12729397795303057
MDYV,-0.1658559947779983
MGC,-0.14853846038414986
MGK,-0.10128265138535367
MGV,-0.1991545196325956
MIDU,-0.15161250885645908
MINT,0.07012218767636791
MLN,0.2926459645377497
MLPA,-0.11712336278898963
MLPX,-0.1214725026293256
MNA,-0.08134503129197014
MOAT,-0.1180828161344366
MOO,-0.14524626505214752
MORT,0.05225185905220988
MTUM,-0.1439963225181127
MUB,0.38632638118146356
MUNI,0.3276457916249822
NEAR,0.10809777738000428
NFRA,-0.061141502236674666
NFTY,-0.08379820899472656
NLR,-0.029686489325602347
NOBL,-0.14537738854905075
NUGT,0.21785389884540146
NYF,0.34763656645540064
OEF,-0.15250342858778015
OIH,-0.19439679705777155
ONEQ,-0.11252658574413171
PALL,0.04223189718924615
PBD,-0.05167895997740852
PBE,-0.07039824057884347
PBJ,-0.09251985201874602
PBW,-0.058044336487326105
PCEF,0.009564234358929101
PCY,0.29070555326052044
PDN,-0.09541668586830986
PEY,-0.14756083662689948
PFF,0.07583769702383475
PFM,-0.13999573777960536
PFXF,0.06771662492224399
PGHY,0.07942392972272024
PGJ,-0.0818736390649166
PGX,0.13947133409118034
