ETF2,Correlation
AAXJ,0.2345299437556381
ACWI,0.22708989111500244
ACWV,0.21145294396101744
ACWX,0.3263292948080284
AFK,0.31814056356381265
AGG,0.29401505514958637
AGQ,0.38615476166745416
AGZD,-0.016376755423399218
AIA,0.23038560432809063
AMLP,0.10091241293594173
ANGL,0.2100943769070458
AOA,0.25254928617000233
AOK,0.3324340747905275
AOM,0.30741664362620474
AOR,0.2743825188733112
ARGT,0.2052554020613651
ASEA,0.2716538519175071
ASHR,0.11691109961415874
BAB,0.23385009213509658
BIL,0.0510769792583627
BIV,0.32523479931233856
BIZD,0.13376762410281487
BKLN,0.17328972863702022
BLV,0.24337161454239975
BND,0.2882559296881119
BNDX,0.13077516073542028
BNO,0.08957895167079762
BOIL,0.04021935670523641
BOND,0.27867636436333726
BRZU,0.1936654951827114
BSV,0.3357528933676442
BTAL,-0.08280714140168036
BWX,0.7375107842872569
BWZ,0.8477955409340954
BZQ,-0.18496133516203303
CANE,0.10499852958400069
CEMB,0.21484715008319274
CGW,0.2984619094366243
CHIQ,0.1644783018636323
CMBS,0.20570277773706253
CMF,0.13615001624591802
COPX,0.3201843585239523
CORN,0.07219189653335109
CORP,0.2948102196606905
CPER,0.17286141977644845
CQQQ,0.15238960189865972
CURE,0.07841983216775404
CWB,0.18048535310647287
CWI,0.331026130467401
CXSE,0.15355027799089843
DBA,0.17779664069601686
DBB,0.28617511463457346
DBC,0.21989894174225813
DBEF,-0.016199000826499388
DBEU,0.006082893732472496
DBJP,-0.08606155380864167
DBO,0.12684563312708205
DDM,0.12416108802174017
DEM,0.26513463402147514
DES,0.13923316646037268
DEW,0.25719042691792177
DFJ,0.16076989677868497
DGP,0.36834273444324495
DGRE,0.2652524096803749
DGRS,0.12154672715832301
DGRW,0.12222055619340835
DGS,0.2884471722965809
DHS,0.15038115041535996
DIA,0.11981287622930716
DIG,0.12357639164485938
DIV,0.1650269678578107
DJP,0.2552031957938878
DLN,0.1271514291964056
DLS,0.3811073497252709
DNL,0.3216934329894645
DOG,-0.1188409759025273
DON,0.15383837702959546
DRN,0.18354925472787903
DRV,-0.16755473606998175
DSI,0.1392117541397345
DTD,0.1371548016237617
DTH,0.35473452986039467
DUG,-0.1130928440039387
DUST,-0.3632022681882901
DVY,0.15739169421069063
DVYE,0.2680672866722705
DWAS,0.11478950635000267
DWM,0.3516369693845678
DXD,-0.12074786170404807
DXJ,-0.09647606989928399
DXJS,-0.10218351386114226
EBND,0.5171591912101674
ECH,0.24605702801007942
ECNS,0.13108084565659583
EDC,0.2657342683803769
EDIV,0.26666377516716877
EDV,0.16818988802429632
EDZ,-0.2632755969818455
EELV,0.29657816033802953
EEM,0.25973707535537505
EEMA,0.22835279938281192
EEMV,0.2660959107660773
EFA,0.33499609147217446
EFG,0.33623517620680865
EFV,0.3183882012668453
EFZ,-0.33054475694443575
EIDO,0.20400477038893228
EMB,0.30350123167838605
EMHY,0.22590933736587807
EMLC,0.5118440930131914
ENFR,0.15518296487558955
ENOR,0.3218649025389793
ENZL,0.3525717257186652
EPHE,0.15728852046274966
EPI,0.1474414291579114
EPOL,0.42930711875583805
EPP,0.27840753133312
EPS,0.13360322896935306
EPV,-0.3768761745730435
EQWL,0.1479178194877152
ERX,0.10565316839401807
ERY,-0.09808693377391689
EUFN,0.30869404429956027
EUM,-0.2615659749263577
EURL,0.3876904147867515
EUSA,0.1565063356023539
EWA,0.27941878805572595
EWC,0.30020695174269363
EWD,0.3662735956242815
EWG,0.36428051254337374
EWH,0.1430834190001085
EWI,0.3238216332961805
EWJ,0.17916667374592174
EWL,0.3363302875887906
EWM,0.20720155767230874
EWP,0.3425385487246714
EWQ,0.37070947939294635
EWS,0.29333016375685633
EWT,0.22082400168670666
EWU,0.3228974571277319
EWV,-0.173064285315295
EWW,0.23012865373427913
EWX,0.25704938324332044
EWY,0.2937156819459583
EWZ,0.1950169223938852
EWZS,0.20606056585290908
EZA,0.33917081063671667
EZU,0.3716192147369462
FAN,0.32296252218515764
FAS,0.11055160256290301
FAZ,-0.10823539486698552
FBT,0.07451975601095026
FCA,0.11048289727896991
FCG,0.11543359644843358
FCOM,0.1303281621080645
FDD,0.3782587566685949
FDIS,0.15403359052300275
FDL,0.15818119698153146
