ETF2,Correlation
AAXJ,0.731591982414426
ACWI,0.9684600669440865
ACWV,0.8897723924618536
ACWX,0.8567966924346431
AFK,0.5971643572124264
AGG,0.07319094416263815
AGQ,0.20916380356251718
AGZD,0.06503791407993163
AIA,0.6795694814132666
AMLP,0.5190836281656391
ANGL,0.6274985251263266
AOA,0.9487324170955497
AOK,0.7911852667017549
AOM,0.8608852537462309
AOR,0.9280644682495985
ARGT,0.6223905007318619
ASEA,0.6297730245526509
ASHR,0.40141748264368543
BAB,0.02256951711613786
BIL,-0.006734623648059909
BIV,-0.0009834299541692623
BIZD,0.5807107413347141
BKLN,0.5872044881924906
BLV,0.022801704644034828
BND,0.08983129400184361
BNDX,0.09009241822759666
BNO,0.31319358707466577
BOIL,0.08572272821811974
BOND,0.11817262072507378
BRZU,0.5275259422950238
BSV,-0.0012364799398593106
BTAL,-0.30686484661843727
BWX,0.10928241022005396
BWZ,0.12927270277335473
BZQ,-0.504954862509158
CANE,0.11370839807130077
CEMB,0.3485819555679381
CGW,0.8596394557887308
CHIQ,0.5096468587247319
CMBS,-0.034295389062471045
CMF,0.07582631289289969
COPX,0.6111507884867758
CORN,0.06365193616003198
CORP,0.21067806013651166
CPER,0.22899359273442524
CQQQ,0.5164003507693136
CURE,0.8267618903810345
CWB,0.8331503660645625
CWI,0.8555638967658288
CXSE,0.47227743851358844
DBA,0.1937566189720956
DBB,0.29677254227494154
DBC,0.34545072840021784
DBEF,0.8241486528137514
DBEU,0.8217193289071679
DBJP,0.7110003919070854
DBO,0.3220067892791579
DDM,0.9547445931919245
DEM,0.7114464090764168
DES,0.807336311726965
DEW,0.8548200743688665
DFJ,0.6809049447077608
DGP,-0.0013966942600115
DGRE,0.7034685730914764
DGRS,0.7931961152821102
DGRW,0.9706601229898323
DGS,0.7463944382546329
DHS,0.8574307990939306
DIA,0.9554174007780808
DIG,0.6121565218401164
DIV,0.7167621284720987
DJP,0.33363252456786474
DLN,0.9580697051713276
DLS,0.8154783123242382
DNL,0.8293977136246754
DOG,-0.9527171421360022
DON,0.8725066204330808
DRN,0.7028811708598112
DRV,-0.7278267975805853
DSI,0.9889622153732432
DTD,0.9481464504388479
DTH,0.7866781874744213
DUG,-0.628588714096506
DUST,-0.14502514620316073
DVY,0.8384724595584798
DVYE,0.6825988157426535
DWAS,0.791013128982792
DWM,0.8314998056381216
DXD,-0.9546714216906604
DXJ,0.7009031585732313
DXJS,0.65622999665389
EBND,0.48276149840943644
ECH,0.5331475361969797
ECNS,0.45767438621536155
EDC,0.7528000227520583
EDIV,0.6831701122267743
EDV,-0.2081406718688676
EDZ,-0.7555249140872529
EELV,0.7061305474747596
EEM,0.7545421187200411
EEMA,0.7152062920594957
EEMV,0.7394785671684275
EFA,0.8499399420819007
EFG,0.8554690789283883
EFV,0.8008482396520642
EFZ,-0.851183069708501
EIDO,0.6065478491573602
EMB,0.5543125683833817
EMHY,0.6118151438730757
EMLC,0.49062315080139235
ENFR,0.607175495494661
ENOR,0.6874848311549716
ENZL,0.6241569761808683
EPHE,0.5823018383929424
EPI,0.6199375098663842
EPOL,0.612541074029991
EPP,0.7930831676472702
EPS,0.9766782684426711
EPV,-0.8211759244565231
EQWL,0.9201310020080277
ERX,0.6321853711968638
ERY,-0.6469277119229699
EUFN,0.7261663175267956
EUM,-0.7548424181469687
EURL,0.8180842750647903
EUSA,0.9415194257544341
EWA,0.7836576949927535
EWC,0.796453817425714
EWD,0.7676394349854577
EWG,0.780544246728713
EWH,0.5732150324146412
EWI,0.7171786188076394
EWJ,0.7347895903563144
EWL,0.7568976415349117
EWM,0.5204718571956346
EWP,0.70112155714747
EWQ,0.7819286536562277
EWS,0.6865791064306926
EWT,0.6725580381798935
EWU,0.7685742286260493
EWV,-0.7290148084520408
EWW,0.6318418360642518
EWX,0.7447336685850013
EWY,0.6977484106197401
