ETF2,Correlation
AAXJ,0.6875206677569413
ACWI,0.901158414414943
ACWV,0.8269782732176293
ACWX,0.828593734652843
AFK,0.5888211014832578
AGG,0.030916577779827814
AGQ,0.19852360007130962
AGZD,0.06578107610065663
AIA,0.6400484333986006
AMLP,0.5783723173146077
ANGL,0.6015212884005728
AOA,0.8883895150537482
AOK,0.7235475071170993
AOM,0.791094719624859
AOR,0.8639495917597723
ARGT,0.5865420407617897
ASEA,0.6216018251057599
ASHR,0.381656435687435
BAB,-0.006597136220416812
BIL,-0.0015890157922211147
BIV,-0.0450802332410602
BIZD,0.6210838098424349
BKLN,0.5721454343189077
BLV,-0.03189491896351112
BND,0.048271125316122106
BNDX,0.039833308257164135
BNO,0.3482617277910584
BOIL,0.09833272041920502
BOND,0.0856356680009647
BRZU,0.5323631136517708
BSV,-0.03301843002821707
BTAL,-0.35017365602855194
BWX,0.0846104780093943
BWZ,0.12114206728831392
BZQ,-0.506670174748205
CANE,0.1282612800629799
CEMB,0.3250508153453845
CGW,0.826422499671271
CHIQ,0.4714297071336382
CMBS,-0.06392901554270429
CMF,0.06822519282117381
COPX,0.63514218205552
CORN,0.08955974080948777
CORP,0.17092998399054565
CPER,0.25306615616882944
CQQQ,0.4769198711760549
CURE,0.7521206948846835
CWB,0.7572496962429908
CWI,0.825802351972189
CXSE,0.4480646392575365
DBA,0.22325535060543078
DBB,0.31510399497079644
DBC,0.3851974908003414
DBEF,0.7980048431564607
DBEU,0.7976611980622061
DBJP,0.6843522588914811
DBO,0.3584090525740368
DDM,0.9233642306673238
DEM,0.6999273862385788
DES,0.8836556861384344
DEW,0.8834960479384092
DFJ,0.6646362855399616
DGP,-0.012803431145148335
DGRE,0.6675543780776435
DGRS,0.8621078583825601
DGRW,0.9141924107129774
DGS,0.7140951352175158
DHS,0.8987494620427952
DIA,0.9226460216058274
DIG,0.6982049159238533
DIV,0.7744819172733447
DJP,0.3688815519849724
DLN,0.9317694275732771
DLS,0.805633734377757
DNL,0.7793495892312498
DOG,-0.9198854312319773
DON,0.9256034795305594
DRN,0.6740357498631663
DRV,-0.6968739202061167
DSI,0.8956408952519576
DTD,0.9361950692838434
DTH,0.8000810935444117
DUG,-0.7109331941196897
DUST,-0.1275231700806109
DVY,0.9039442543970229
DVYE,0.682571727185951
DWAS,0.7664437949933908
DWM,0.8175455675528949
DXD,-0.9222263087002411
DXJ,0.6937725898806916
DXJS,0.6408017040641854
EBND,0.4615878812906469
ECH,0.546929364988437
ECNS,0.43921819255893163
EDC,0.711941617191625
EDIV,0.6637856368891375
EDV,-0.25323492766771993
EDZ,-0.713958057132433
EELV,0.6795957900053894
EEM,0.7157556559578415
EEMA,0.6752736608171502
EEMV,0.7048339674482648
EFA,0.8268331083434599
EFG,0.7888565538025027
EFV,0.8220267344270873
EFZ,-0.8238103107824277
EIDO,0.5859703670593015
EMB,0.5105027943269809
EMHY,0.5861003589867207
EMLC,0.4745497297764593
ENFR,0.667436027835196
ENOR,0.6973305324564925
ENZL,0.6006555454291423
EPHE,0.5567265508952316
EPI,0.5942404521219513
EPOL,0.5995800855336384
EPP,0.7775158209164925
EPS,0.9333125173040194
EPV,-0.7986569545464344
EQWL,0.9131825367605898
ERX,0.7020850459395265
ERY,-0.7136452341915779
EUFN,0.7643331919643892
EUM,-0.7117701071075401
EURL,0.7979657954735351
EUSA,0.9327748559745862
EWA,0.7681850911394673
EWC,0.8034313572742103
EWD,0.7462374861753986
EWG,0.7618922528846892
EWH,0.5692034824284137
EWI,0.7204549238173795
EWJ,0.7071509453653302
EWL,0.7130963475694767
EWM,0.4976642266414283
EWP,0.7154142513316678
EWQ,0.7716817386657141
EWS,0.6735243532729931
EWT,0.6331902441889689
EWU,0.7789193635746461
EWV,-0.6998140497877567
EWW,0.640297472915613
EWX,0.7106247585434357
EWY,0.6680592159512971
EWZ,0.5631632799192084
EWZS,0.5066534599223458
EZA,0.6121016567317964
EZU,0.7831578008301611
FAN,0.6683661847620654
FAS,0.9028650490893892
FAZ,-0.9063814002625767
FBT,0.6009040006200995
FCA,0.4227689370619424
FCG,0.5808228250255695
FCOM,0.7332969042398219
FDD,0.7502456606102562
FDIS,0.8121396461908168
FDL,0.8817420310386282
FDN,0.6773526630259639
FDT,0.8017426330815711
FEM,0.6845790487925323
FEMS,0.6337954284353299
FENY,0.7078738430834705
FEZ,0.7801696650900611
FGD,0.8389231713391317
FHLC,0.7644835011747191
FIDU,0.9104676264967159
FIW,0.8533291230523038
FLOT,0.3656210824191319
FLRN,0.3270958944977382
FLTR,0.31421595754471143
FM,0.5821558896596525
FMAT,0.8738485303155356
FMF,0.023320667605696503
FNCL,0.89937639838302
FNDA,0.9115271939644498
FNDB,0.9532040311529003
FNDC,0.8243815490462758
FNDE,0.704632017277364
FNDF,0.8357796241534606
FNDX,0.9593100723042243
FPE,0.48105033913417217
FRI,0.6959795703438555
FSTA,0.7097038127661779
FTA,0.9421639991414338
FTC,0.8039670434577887
FTCS,0.872802108385694
FTEC,0.7846769942456
