ETF2,Correlation
AAXJ,0.6360259781223592
ACWI,0.8191287976624213
ACWV,0.7217316173750308
ACWX,0.7194535799898463
AFK,0.5196539150090683
AGG,0.11578872883891095
AGQ,0.20425725446551943
AGZD,0.05729683082263104
AIA,0.6028501714080537
AMLP,0.4277628569502367
ANGL,0.5422406579979004
AOA,0.8061270365924874
AOK,0.6963951845777268
AOM,0.7419897112404221
AOR,0.7924743794838784
ARGT,0.5553554453461969
ASEA,0.5205238139768427
ASHR,0.33850419279339816
BAB,0.03804637381806119
BIL,-0.01620075316643508
BIV,0.05148063604712657
BIZD,0.4982208581842281
BKLN,0.4692342116795388
BLV,0.06475095444767681
BND,0.11969406644883308
BNDX,0.10530925429641422
BNO,0.23917303161580158
BOIL,0.064305304848335
BOND,0.14530940645310345
BRZU,0.44826891391249124
BSV,0.029894865539840065
BTAL,-0.29723686353185114
BWX,0.14722649820468103
BWZ,0.14017952028670713
BZQ,-0.4308036502553655
CANE,0.0888565213695107
CEMB,0.31074806413500194
CGW,0.7064001645904806
CHIQ,0.48103118080707935
CMBS,-0.005372751885255029
CMF,0.06639113041717895
COPX,0.5046717693457877
CORN,0.030065865150439495
CORP,0.2192254746298033
CPER,0.19295565675922433
CQQQ,0.4831252540806946
CURE,0.6296157520950479
CWB,0.7355963531784064
CWI,0.7191868075808399
CXSE,0.44830274606936926
DBA,0.164008856759448
DBB,0.23724163086063635
DBC,0.27028905687612426
DBEF,0.6755534751493274
DBEU,0.6723377571815611
DBJP,0.5753360718313387
DBO,0.24779864388951425
DDM,0.7654303150348333
DEM,0.5934707178613963
DES,0.6837673111699906
DEW,0.6914355309207578
DFJ,0.562809201748008
DGP,0.0325827145858979
DGRE,0.6031338336295742
DGRS,0.6653705367241431
DGRW,0.7779612432773433
DGS,0.6270595465129422
DHS,0.6881865891313952
DIA,0.765352752306689
DIG,0.4654951198491575
DIV,0.602569791531786
DJP,0.26827325918595996
DLN,0.7673771286173354
DLS,0.6859503254914121
DNL,0.707135868105979
DOG,-0.7636241244858716
DON,0.7175741039083813
DRN,0.5902827276813072
DRV,-0.6051072388272978
DSI,0.8431772398166009
DTD,0.764117562971708
DTH,0.6401771949112146
DUG,-0.4778670564830301
DUST,-0.15325427539841022
DVY,0.6652522484020227
DVYE,0.571165075970993
DWAS,0.6912364830545669
DWM,0.6839516327087594
DXD,-0.7641890828864519
DXJ,0.557427376688547
DXJS,0.5256635989697018
EBND,0.4313586521105657
ECH,0.44599525631927106
ECNS,0.4106983330113372
EDC,0.6518032172749959
EDIV,0.5713714068874377
EDV,-0.12484693034327705
EDZ,-0.6534122838260794
EELV,0.5903923211060969
EEM,0.6520260780656968
EEMA,0.6237783501624976
EEMV,0.6250163424332985
EFA,0.7066992398537706
EFG,0.7267415040293453
EFV,0.6488045902650926
EFZ,-0.7089562702234465
EIDO,0.4970260873124597
EMB,0.4990413369324813
EMHY,0.5339637777959806
EMLC,0.4364498833470046
ENFR,0.4993123333921863
ENOR,0.5660298114952786
ENZL,0.519848083440046
EPHE,0.47983187443330344
EPI,0.5023997279850513
EPOL,0.5229568670689599
EPP,0.6631165493948139
EPS,0.8216208507048285
EPV,-0.6839435802917827
EQWL,0.759135305263614
ERX,0.47947329280270135
ERY,-0.4911345150052736
EUFN,0.5859194510130218
EUM,-0.6536261413197464
EURL,0.680490273462708
EUSA,0.794741820638441
EWA,0.6520367243289378
EWC,0.6690736479915458
EWD,0.644847543831363
EWG,0.6529614379005434
EWH,0.48161429807913353
EWI,0.5904901597019299
EWJ,0.6120892411517123
EWL,0.6342603293438901
EWM,0.43287610896244605
EWP,0.5770763634705917
EWQ,0.6462562265194489
EWS,0.5836414559869884
EWT,0.5653730138559235
EWU,0.6177020885358938
EWV,-0.6073111135351328
EWW,0.5285977183277545
EWX,0.6292072552861674
EWY,0.5903431765588392
EWZ,0.46735086107414575
EWZS,0.44352697578466843
EZA,0.5336372671980854
EZU,0.6667007835588913
FAN,0.5923116490902391
FAS,0.6967220128677998
FAZ,-0.6996035250183043
FBT,0.5614207603681902
FCA,0.36469964927789383
FCG,0.40386579956257745
FCOM,0.9732725328144702
FDD,0.597217133210131
FDIS,0.8117906252947577
FDL,0.6705060523830843
FDN,0.8178106310961736
FDT,0.6837260249114584
FEM,0.6063333944484333
FEMS,0.5523762607095396
FENY,0.4756073975405279
FEZ,0.6674033748853335
FGD,0.6572297018227663
FHLC,0.6579561468277222
FIDU,0.7158716810687442
FIW,0.7120429424117442
FLOT,0.2871696151895079
FLRN,0.2686893532065789
FLTR,0.2687236741007366
FM,0.5097565984579048
FMAT,0.6806391527117372
FMF,0.0006894581485868673
FNCL,0.6731971021306915
FNDA,0.7360741711763386
FNDB,0.7807463859961272
FNDC,0.6990411253308499
FNDE,0.6064574555077129
FNDF,0.6743505741278563
FNDX,0.7829245200511569
FPE,0.4322060224759305
FRI,0.5945690876097982
FSTA,0.5990190084942375
FTA,0.7050636882659151
FTC,0.7848950424111863
FTCS,0.7428058919291146
FTEC,0.8014854496261442
FTGC,0.23916117800770859
FTQI,0.5249845550130819
FTRI,0.4613271971207969
FTSL,0.38917769199008523
FUTY,0.45695124816763955
FVD,0.7005371908350363
FXH,0.674876170930905
FXI,0.5012116905995178
FXL,0.7804588570610228
FXN,0.4765268538672066
FXO,0.6542292682935373
FXR,0.7219206100093246
FXU,0.5542458648816897
FXY,-0.13508059013563892
FXZ,0.6432143069297805
FYLD,0.6049567100477286
GCC,0.22588376168037708
GDX,0.178320793796613
GDXJ,0.21220259744709374
GLD,0.0674088610053276
GLTR,0.17566770780275853
GMF,0.6288910569377402
GNR,0.6080583993679805
GOVI,-0.11582581086422178
GOVT,-0.11987440243115177
GREK,0.46420588675292074
GRID,0.6258576477366443
GRPM,0.7221199946360889
GSG,0.26651590641404416
GSY,0.10240080045225605
GUNR,0.594261733206953
GVI,0.049668362985267556
GWX,0.687939065860061
GXC,0.512101996703225
HAUZ,0.5117959534091052
HDGE,-0.7092071162888476
HEDJ,0.6597405660978619
HYD,0.27458324699455305
HYEM,0.39383464479238706
HYG,0.6531188778969444
HYLS,0.5254050804672266
HYMB,0.23104957410397314
HYS,0.6084869651016657
HYZD,0.393369112109722
IAI,0.6635055321942049
IAK,0.5916719318023664
IAT,0.5542566928048206
IAU,0.06735436614576967
IBB,0.5816646970089631
IBND,0.19480373886790223
ICF,0.5780721087588022
ICLN,0.5819926468481296
ICSH,0.07776362836061758
IDHQ,0.6415432421266886
IDLV,0.6531296489785355
IDMO,0.5013875746593979
IDU,0.4590316335246047
IDV,0.6449505364518247
IDX,0.502318548136917
IEF,-0.1028538862021851
IEFA,0.7055975518778206
IEI,-0.07424528120293943
IEMG,0.6553100793512401
IEO,0.46170599598681816
IEV,0.6801357166578201
IEZ,0.43982896385816767
IGE,0.535670743388117
IGF,0.6448147240013975
IGIB,0.2619098446007003
IGLB,0.22877343575085862
IGM,0.8367216804715615
IGOV,0.12593355592293765
IGPT,0.7410696451176513
IGSB,0.22725907901191475
IGV,0.769777497350685
IHE,0.566322463567237
IHF,0.5807237989609624
IHI,0.668519301069212
IJH,0.7627485808505646
IJJ,0.7188086192239336
IJK,0.7798766303068403
IJR,0.7222487651994802
IJS,0.6679401483285654
IJT,0.7446397827464404
ILCB,0.8286243227968766
ILCG,0.8350805127871221
ILCV,0.7531323626735685
ILF,0.5323847409083818
ILTB,0.08448491212697937
IMCB,0.7771697170035579
IMCG,0.7957393540433181
IMCV,0.7010764698528062
INCO,0.4561346270584645
INDA,0.5202323930874121
INDL,0.4920103278083997
INDY,0.5054249750252534
IOO,0.8143486563584771
ISCG,0.7627027637964923
ISHG,0.1209800505393381
ISTB,0.15223566631396504
ITA,0.6176497591756696
ITB,0.6073028397029905
ITM,0.08571935393300097
ITOT,0.8470159691393164
IUSV,0.7578213920042571
IVE,0.7589851277067347
IVOO,0.7619043874269958
IVV,0.8412425480541565
IVW,0.8439673445035311
IWB,0.8462770303497336
IWC,0.6987893453603299
IWD,0.7574779013463951
IWF,0.8488863264914843
IWL,0.8414161963236058
IWM,0.7550239167923245
IWN,0.7028497913080385
IWO,0.7648861079208199
IWP,0.81393427023461
IWR,0.8027464869109059
IWS,0.7537535757915657
IWV,0.8453272932596287
IWX,0.7412098689545926
IWY,0.8411619616599352
IXC,0.4962801733798555
IXJ,0.6546525360614978
IXN,0.7934763196477495
IXUS,0.7204591140799178
IYC,0.8305383821232596
IYE,0.483963328644749
IYF,0.703879827229433
