ETF2,Correlation
AAXJ,0.6105283303664674
ACWI,0.8108483104975773
ACWV,0.7248659965799014
ACWX,0.7580426884462291
AFK,0.5719334759897962
AGG,0.06989731544266907
AGQ,0.2062406650466105
AGZD,0.08041399043317364
AIA,0.5706582975027713
AMLP,0.5866197974133232
ANGL,0.5650871868736455
AOA,0.8149906467115116
AOK,0.6793790980708465
AOM,0.7391138325432924
AOR,0.7930295718646914
ARGT,0.5679590147785468
ASEA,0.5569483707745858
ASHR,0.33152079568991655
BAB,0.009481655432334623
BIL,0.002710040720903396
BIV,-0.01560066400086413
BIZD,0.6520575602314845
BKLN,0.533325745943326
BLV,-0.005784903211254604
BND,0.06378699634357193
BNDX,0.058060809386189474
BNO,0.3224659781199135
BOIL,0.09062408443630882
BOND,0.10822997293380165
BRZU,0.4978577933065783
BSV,-0.0027595619661884784
BTAL,-0.39628216323596915
BWX,0.12965826175584866
BWZ,0.13994567887612194
BZQ,-0.4855961704380842
CANE,0.12753419728677293
CEMB,0.31741112079574496
CGW,0.7934103462695692
CHIQ,0.4343483499570205
CMBS,-0.036811199914969506
CMF,0.05179048413682066
COPX,0.6050804990453792
CORN,0.0840465614103251
CORP,0.1731633306879684
CPER,0.23094763972626528
CQQQ,0.4338845810987512
CURE,0.6184796391204147
CWB,0.7191280897778869
CWI,0.7557473804582497
CXSE,0.4009703933749469
DBA,0.2055034743056534
DBB,0.29974867918955184
DBC,0.37113459013546884
DBEF,0.7249296917986094
DBEU,0.7226478807146804
DBJP,0.6112448557759599
DBO,0.3518562426825437
DDM,0.8174409218626232
DEM,0.6410734914278042
DES,0.9659562721086431
DEW,0.8252622894964365
DFJ,0.6131572468061847
DGP,0.0005117482413650717
DGRE,0.610862623573012
DGRS,0.9346132539867726
DGRW,0.7962287347993615
DGS,0.6468864910086091
DHS,0.8391298945966355
DIA,0.8182198938193399
DIG,0.687458843342608
DIV,0.8091194533755616
DJP,0.35489004630811777
DLN,0.8245750271521606
DLS,0.7560995960095191
DNL,0.7046989761920512
DOG,-0.8167874545656634
DON,0.9354600107477227
DRN,0.6938850331833732
DRV,-0.7110550336342071
DSI,0.7952593422108245
DTD,0.8523703497864185
DTH,0.7442974961382445
DUG,-0.6994102252224663
DUST,-0.14304138321878732
DVY,0.8648765788921565
DVYE,0.6250250326514563
DWAS,0.8376992152834746
DWM,0.7520435583522749
DXD,-0.81778757300973
DXJ,0.6254051375776362
DXJS,0.5759316836250649
EBND,0.44831447710655387
ECH,0.5389086659511925
ECNS,0.3990056097393202
EDC,0.6440348067648969
EDIV,0.6019337940288813
EDV,-0.21334740719969358
EDZ,-0.6446046109778446
EELV,0.6210003059701953
EEM,0.647239165033161
EEMA,0.5980450764722248
EEMV,0.6283824132356629
EFA,0.7569987119889068
EFG,0.7123370416190551
EFV,0.7630018995255213
EFZ,-0.7590927048520666
EIDO,0.5302693349947071
EMB,0.5116831466829586
EMHY,0.5675850631785403
EMLC,0.46183792236268506
ENFR,0.673802230328931
ENOR,0.6584172867393183
ENZL,0.5547957282512469
EPHE,0.5007432308728886
EPI,0.5459428546872188
EPOL,0.5615045561175261
EPP,0.7170035007612927
EPS,0.8312818253102228
EPV,-0.7375221975544837
EQWL,0.8259838089260767
ERX,0.676622439371963
ERY,-0.687834793450485
EUFN,0.7162747577026335
EUM,-0.6432532725400456
EURL,0.7342690403170712
EUSA,0.8820314318646285
EWA,0.7196593497133315
EWC,0.7573200560613644
EWD,0.6996315264338574
EWG,0.6998043475998242
EWH,0.5045638085833759
EWI,0.6598719546786692
EWJ,0.6419718770961259
EWL,0.6285608803215549
EWM,0.4506579418332612
EWP,0.6711699550751714
EWQ,0.7132331312649849
EWS,0.612527710936861
EWT,0.5661772375612301
EWU,0.7185075078912536
EWV,-0.6351981909552243
EWW,0.6088496448729764
EWX,0.6487176416474604
EWY,0.6003404050264122
EWZ,0.5330258277225159
EWZS,0.5077600642834832
EZA,0.5726486245553215
EZU,0.7227919258878664
FAN,0.6382374480971178
FAS,0.8570557946795928
FAZ,-0.8573774174846012
FBT,0.5627213276572348
FCA,0.3665296904701372
FCG,0.605709604629638
FCOM,0.6875546029975066
FDD,0.7151188708424633
FDIS,0.7674612222319441
FDL,0.810132440309992
FDN,0.6232787437342235
FDT,0.7401208713467183
FEM,0.6341838314202817
FEMS,0.5904533338595076
FENY,0.7030161480741611
FEZ,0.7224305046989029
FGD,0.8022135952507465
FHLC,0.6543354664935521
FIDU,0.8759626863739008
FIW,0.8646690920457085
FLOT,0.3458528153344892
FLRN,0.33229221142319365
FLTR,0.33809936250393424
FM,0.5252541964783277
FMAT,0.8435678848574488
FMF,0.03835393148489036
FNCL,0.8729579932341611
FNDA,0.9730302295906562
FNDB,0.8970451626343183
FNDC,0.7765225700890765
FNDE,0.6469975486670295
FNDF,0.7799497939229287
FNDX,0.8810684004682191
FPE,0.5033379670770318
FRI,0.7231220299529693
FSTA,0.5960654333502544
FTA,0.8980664833086295
FTC,0.728771821864116
FTCS,0.7503741666017198
FTEC,0.6749286538147163
FTGC,0.33405182369313086
FTQI,0.5172668825251469
FTRI,0.6072794907164466
FTSL,0.44599397759104975
FUTY,0.5111520352892676
FVD,0.8326121736578164
FXH,0.6717117191707042
FXI,0.45996028740154044
FXL,0.7012434035429128
FXN,0.6952907437786692
FXO,0.8996820712769874
FXR,0.8908116032993605
FXU,0.625326325931309
FXY,-0.17059798627330702
FXZ,0.8533857962586231
FYLD,0.7319822700761669
GCC,0.3017370590188613
GDX,0.1752384491237323
GDXJ,0.2209993812726591
GLD,0.023893404351095264
GLTR,0.16596256256101544
GMF,0.6043351689317391
GNR,0.7603920649781725
GOVI,-0.19964195006344249
GOVT,-0.20179674074144222
GREK,0.5044121276519073
GRID,0.7213450136704006
GRPM,0.9347942008602683
GSG,0.35964272217916843
GSY,0.12446451746009458
GUNR,0.7425289417755447
GVI,-0.006457240752616116
GWX,0.7443761566734499
GXC,0.46316986571417307
HAUZ,0.5928667962685353
HDGE,-0.8449306382991902
HEDJ,0.7096842503711719
HYD,0.34035693241278225
HYEM,0.4079231744704009
HYG,0.6834881871377009
HYLS,0.5204793343075979
HYMB,0.25850120105601426
HYS,0.6545136002225386
HYZD,0.4210664253711544
IAI,0.8145555415078353
IAK,0.7967545643397965
IAT,0.8467894544381399
IAU,0.025504578231913214
IBB,0.5782924220729153
IBND,0.19084223918226761
ICF,0.6600767572195694
