ETF2,Correlation
AAXJ,0.7348998062472938
ACWI,0.967719998788584
ACWV,0.8860241474362135
ACWX,0.8568392407762768
AFK,0.6008752467256794
AGG,0.0741538814818438
AGQ,0.21366618589037253
AGZD,0.0645313795580932
AIA,0.684379279547449
AMLP,0.5155602914781227
ANGL,0.6280315195365981
AOA,0.9473352292976214
AOK,0.7914444453161824
AOM,0.8606715354020962
AOR,0.9282186057567826
ARGT,0.6297063689450546
ASEA,0.6270005428971505
ASHR,0.40217377969488566
BAB,0.022037916818942207
BIL,-0.0078989442631208
BIV,0.00010080226320088554
BIZD,0.5802239891347732
BKLN,0.5900128954350388
BLV,0.02519045579000057
BND,0.0889487378792495
BNDX,0.09405138592070696
BNO,0.3087696390507252
BOIL,0.08601364183787494
BOND,0.1180563380807387
BRZU,0.5256203341215836
BSV,0.002716033533045968
BTAL,-0.30827907843111707
BWX,0.11315171408106152
BWZ,0.13396329391597483
BZQ,-0.5048610483904113
CANE,0.11041966926069435
CEMB,0.351807770135353
CGW,0.8594100412377678
CHIQ,0.5185750834348923
CMBS,-0.035355932580346146
CMF,0.07573497047877478
COPX,0.6142488342703213
CORN,0.06185814027304593
CORP,0.2090126475408473
CPER,0.22853199428861926
CQQQ,0.524729239330416
CURE,0.8237156467396779
CWB,0.8425887317434967
CWI,0.8548930566482658
CXSE,0.4805713891447044
DBA,0.1923196073832414
DBB,0.2973495985356652
DBC,0.34322893989351
DBEF,0.8217672409911707
DBEU,0.8185681372344054
DBJP,0.7088678154344459
DBO,0.3186868388345541
DDM,0.9475861377316953
DEM,0.7108586757041283
DES,0.8018657780207055
DEW,0.8485968457207255
DFJ,0.6773389723644819
DGP,0.002619797886396837
DGRE,0.7055992583863385
DGRS,0.7909340484929883
DGRW,0.9653044469399756
DGS,0.7464842463382724
DHS,0.8476355613492133
DIA,0.9484425846605944
DIG,0.604098714334683
DIV,0.7103787982285666
DJP,0.33296521486484915
DLN,0.9505263371523005
DLS,0.8149024151892414
DNL,0.8304424587411656
DOG,-0.9459981743578736
DON,0.8681164218481358
DRN,0.6982743812574814
DRV,-0.7241339131247155
DSI,0.9887846870753577
DTD,0.9412323801852022
DTH,0.7848560115321765
DUG,-0.6203099263539871
DUST,-0.15186757571661152
DVY,0.8293177705060024
DVYE,0.682772296645425
DWAS,0.7980811796179456
DWM,0.82939961240895
DXD,-0.9478552045092933
DXJ,0.6973110599274649
DXJS,0.6531935829332592
EBND,0.48403696455681056
ECH,0.5334090695146274
ECNS,0.46173978062559445
EDC,0.7548710083268965
EDIV,0.6818701241019784
EDV,-0.20466250787703155
EDZ,-0.7575887246951228
EELV,0.7060627987931911
EEM,0.7568689453341624
EEMA,0.7189308840816525
EEMV,0.7392815440906947
EFA,0.8484104432300096
EFG,0.856496042718411
EFV,0.7970615804106264
EFZ,-0.8500203119147356
EIDO,0.6000989152654789
EMB,0.5576798478866659
EMHY,0.6124412531357202
EMLC,0.49132047470695017
ENFR,0.6050436923880849
ENOR,0.6850826728227296
ENZL,0.6211139594805628
EPHE,0.579426229358343
EPI,0.6191137675184889
EPOL,0.612709140171768
EPP,0.7914237989553454
EPS,0.9735585549535094
EPV,-0.8205834490115717
EQWL,0.9161051405554859
ERX,0.6239728348636132
ERY,-0.6393019237532186
EUFN,0.7231948432861153
EUM,-0.7572276100024673
EURL,0.8167904793114548
EUSA,0.9424107692083975
EWA,0.7818092425916231
EWC,0.7965112694064252
EWD,0.7679846071666662
EWG,0.7789820729731014
EWH,0.5718517992071507
EWI,0.7152545356738523
EWJ,0.7335377933856978
EWL,0.7563515498175005
EWM,0.5192970941894073
EWP,0.6981930945505836
EWQ,0.7794686267702375
EWS,0.6871718523882213
EWT,0.674703041351738
EWU,0.7651063056624942
EWV,-0.7274172474416762
EWW,0.6307897620186245
EWX,0.7468035827394125
EWY,0.6995743974370351
EWZ,0.5533105214741094
EWZS,0.5066085109661508
EZA,0.6309190110819423
EZU,0.8001115199422747
FAN,0.7136853677515809
FAS,0.873744517834152
FAZ,-0.8786920360287246
FBT,0.6665594694504675
FCA,0.43182479322999756
FCG,0.49514269093258506
FCOM,0.8310376830279707
FDD,0.7266377559099675
FDIS,0.9056937964890406
FDL,0.8174373024521744
FDN,0.8417589897450515
FDT,0.8198927569626226
FEM,0.7110316686453265
FEMS,0.65502864630146
FENY,0.6168612662209589
FEZ,0.8015599534233944
FGD,0.7974415570964125
FHLC,0.840006025612978
FIDU,0.8929536488725256
FIW,0.8647997363837575
FLOT,0.3606022886168535
FLRN,0.32259421871695426
FLTR,0.3101475838172175
FM,0.5986324873387326
FMAT,0.8476082115713242
FMF,0.015362621725353572
FNCL,0.8458084104957451
FNDA,0.8581375927276443
FNDB,0.9387626092418907
FNDC,0.8334558894356716
FNDE,0.7164936643840042
FNDF,0.8220613949471778
FNDX,0.9481685240411452
FPE,0.4980585890368289
FRI,0.7098259586984682
FSTA,0.7529425984766901
FTA,0.864205402595976
FTC,0.927693197026263
FTCS,0.9319056468608009
FTEC,0.9307404339718425
FTGC,0.3194605302493584
FTQI,0.5746050857263888
FTRI,0.5797211605032524
FTSL,0.46416470247282365
FUTY,0.5818672352554844
FVD,0.8768489048305144
FXH,0.8266579894434739
FXI,0.551156580099576
FXL,0.8888512113505017
FXN,0.5954747180796375
FXO,0.8073977035189771
FXR,0.8825029275874864
FXU,0.6540553848987455
FXY,-0.20904308501179808
FXZ,0.7948699482844233
FYLD,0.7373879348857884
GCC,0.27929010833392715
GDX,0.17803055625486272
GDXJ,0.22035669671591684
GLD,0.037383313629530256
GLTR,0.17592506436982105
GMF,0.7271392757514469
GNR,0.7530517986102275
GOVI,-0.19978635668696532
GOVT,-0.19920790493210114
GREK,0.5623841608129843
GRID,0.7492195551597105
GRPM,0.8518702121674847
GSG,0.3369344065388353
GSY,0.1589310241998369
GUNR,0.7360298496491879
GVI,-0.00431755645594244
