ETF2,Correlation
AAXJ,0.3489395086729517
ACWI,0.36024774975901525
ACWV,0.35692752337555683
ACWX,0.4272636268301309
AFK,0.3955264553219698
AGG,0.5288352155523159
AGQ,0.42401053404968164
AGZD,-0.013475054817623315
AIA,0.32618955595717014
AMLP,0.21777253304874516
ANGL,0.4131902058790952
AOA,0.3944828607279102
AOK,0.5566234472947674
AOM,0.5020412901614433
AOR,0.4328908667863285
ARGT,0.34675680465087183
ASEA,0.36347464389262135
ASHR,0.17755324912329112
BAB,0.42305896858060854
BIL,0.0860175498466976
BIV,0.5286716300773714
BIZD,0.2646964408492336
BKLN,0.2580556832241948
BLV,0.4743549787524422
BND,0.4969619910875917
BNDX,0.43721844930657827
BNO,0.13745768060905544
BOIL,0.05654550753232655
BOND,0.5086221955574962
BRZU,0.3683009111988746
BSV,0.4920901919954094
BTAL,-0.10855252483440496
BWX,0.7273857975006903
BWZ,0.6448654105135957
BZQ,-0.34484316006189236
CANE,0.11946844030150544
CEMB,0.39619683937848504
CGW,0.4113797683300503
CHIQ,0.23622433253571298
CMBS,0.3114070547962532
CMF,0.1700462731209769
COPX,0.36833957586999516
CORN,0.0891266192079773
CORP,0.4947881000732216
CPER,0.1767651578527405
CQQQ,0.22868799663082598
CURE,0.1992014717751816
CWB,0.34196861448438803
CWI,0.43216753005941244
CXSE,0.22829632969668665
DBA,0.17438145829914892
DBB,0.28080869729218205
DBC,0.24703095347558543
DBEF,0.17171585822813373
DBEU,0.19473710566115732
DBJP,0.07718778988611164
DBO,0.15809639923694052
DDM,0.2580812973166884
DEM,0.40446176406237494
DES,0.2756715450675369
DEW,0.3622170533419099
DFJ,0.28309706682132607
DGP,0.3759881459362632
DGRE,0.399035427685168
DGRS,0.26130161699871085
DGRW,0.26222884748274705
DGS,0.42279505532846223
DHS,0.28343010327238316
DIA,0.2567593919095904
DIG,0.20854249181008333
DIV,0.3343126928540423
DJP,0.3117706669170083
DLN,0.2683946028418093
DLS,0.44911549877916435
DNL,0.43581307703908156
DOG,-0.257475765944726
DON,0.29863719818035067
DRN,0.3659482796183916
DRV,-0.35860027344156237
DSI,0.29006303098117675
DTD,0.2805567363496101
DTH,0.4215951361078304
DUG,-0.2075199577436018
DUST,-0.3740972492498377
DVY,0.2799976429077607
DVYE,0.4054747106521599
DWAS,0.2744770661172283
DWM,0.42272515667755545
DXD,-0.25674547311923707
DXJ,0.06181310053343316
DXJS,0.05238121865164442
EBND,0.6289803879636923
ECH,0.37087682923978765
ECNS,0.20792289226452762
EDC,0.39525696189502385
EDIV,0.3974970389981382
EDV,0.3612458588031827
EDZ,-0.39284315276754606
EELV,0.43045542088586114
EEM,0.3926261487880101
EEMA,0.33734355133494237
EEMV,0.39592061944446455
EFA,0.41647845597430316
EFG,0.42903256641792525
EFV,0.390278662623264
EFZ,-0.4169333050532222
EIDO,0.3132850591576422
EMB,0.5570434123526428
EMHY,0.4609657691095991
EMLC,0.6278352419859045
ENFR,0.2832610918846942
ENOR,0.365095707209061
ENZL,0.41670099815030515
EPHE,0.2964516652536749
EPI,0.2589172887182259
EPOL,0.41307041784247756
EPP,0.38712623379078104
EPS,0.26951839769492786
EPV,-0.4335302018217269
EQWL,0.2699945799342479
ERX,0.20939141663571686
ERY,-0.20977196388972333
EUFN,0.3320473699316588
EUM,-0.3918703384748382
EURL,0.4396331949004456
EUSA,0.3142213264836619
EWA,0.38999987369691436
EWC,0.38375075350720433
EWD,0.4012862662709561
EWG,0.40940847562154553
EWH,0.24855124580274615
EWI,0.34630538870048216
EWJ,0.30069721591129966
EWL,0.39530074354539246
EWM,0.31372640581942773
EWP,0.3682767420366116
EWQ,0.40712681955793684
EWS,0.3590996631782256
EWT,0.33232520044068836
EWU,0.40263560462430376
EWV,-0.2930259155501089
EWW,0.39366076427577973
EWX,0.3853216178120315
EWY,0.3812759262812501
EWZ,0.3724923968151192
EWZS,0.39654529893816837
EZA,0.4516933271990055
EZU,0.4119124475898343
FAN,0.4167080440885063
FAS,0.22705969816644178
FAZ,-0.2237485815842463
FBT,0.19351487791232885
FCA,0.20394656795649688
FCG,0.1742026798238297
FCOM,0.26911727519018547
FDD,0.41820237458198495
FDIS,0.30427659834868154
FDL,0.27013678322764006
FDN,0.2642642522454661
FDT,0.42164058843624297
FEM,0.39619850736705436
FEMS,0.3733186216695142
FENY,0.21133456787471974
FEZ,0.40609888669143546
FGD,0.40318481376832055
FHLC,0.2141601127943959
FIDU,0.27672717969263294
FIW,0.31898929222351613
FLOT,0.19119413799651386
FLRN,0.19610738632604505
FLTR,0.18301205671312293
FM,0.290347494357716
FMAT,0.32161298681491307
FMF,-0.045091178233818904
FNCL,0.20438865817330323
FNDA,0.30104766324741994
FNDB,0.2870685387711107
FNDC,0.43391089567692365
FNDE,0.38920364681944003
FNDF,0.3966605300722873
FNDX,0.2716794114842478
FPE,0.3203770583237212
FRI,0.35463501712376544
FSTA,0.23514682894176703
FTA,0.2804533598281965
FTC,0.28350255707187016
FTCS,0.2520583996213188
FTEC,0.25460045097366346
FTGC,0.2839817446124928
FTQI,0.21867996854365562
FTRI,0.321044320134542
FTSL,0.28246119124053726
FUTY,0.2771556726344224
FVD,0.3008508965998411
FXH,0.23244996500450488
FXI,0.25116125705599496
FXL,0.2709045787173185
FXN,0.1998262802761804
FXO,0.23824618888733146
FXR,0.280337602966181
FXU,0.2929848152841025
FXY,0.39389315204997205
FXZ,0.30140653023380076
FYLD,0.3989816866450331
GCC,0.2823089766117793
GDX,0.41282205789898513
GDXJ,0.4108417867005057
GLD,0.41660275643603545
GLTR,0.4622206995682182
GMF,0.3268371908460366
GNR,0.38075071831879503
GOVI,0.4019650203076934
GOVT,0.4252225107750546
GREK,0.2457054448349142
GRID,0.3286917369657254
GRPM,0.29775478502092956
GSG,0.20223644310743208
GSY,0.19979267103798717
GUNR,0.3923647792017232
GVI,0.4931548513863213
GWX,0.4443954173108398
GXC,0.25050215217619076
HAUZ,0.3749302189500993
HDGE,-0.27657511748609936
HEDJ,0.19386308251321582
HYD,0.3216461049634985
HYEM,0.3636399886319117
HYG,0.4276322231072937
HYLS,0.3708718213483752
HYMB,0.25435170179720734
HYS,0.40964628123543345
HYZD,0.16557395888203036
IAI,0.18819938728677973
IAK,0.18014604683717592
IAT,0.14273942579429744
IAU,0.4187378416687943
IBB,0.19594315077808766
IBND,0.6856894282332717
ICF,0.3441980588448608
ICLN,0.35143772537027446
ICSH,0.1726301134004604
IDHQ,0.38889350528122174
IDLV,0.4556996020706938
IDMO,0.30364838126056215
IDU,0.2761397708200094
IDV,0.42673600325484645
IDX,0.32294485195178013
IEF,0.452800286198919
IEFA,0.42334124413778923
IEI,0.47355817972951875
IEMG,0.39448749852479337
IEO,0.1880820223093617
IEV,0.42561353269147145
IEZ,0.2093298473860897
IGE,0.2813045614721495
IGF,0.4231649561032832
IGIB,0.5408077954043239
IGLB,0.4813221498440476
IGM,0.2663840242211458
IGOV,0.7196126551807128
IGPT,0.24764825707226992
IGSB,0.46748554063336284
IGV,0.2604030969011634
IHE,0.17928325906701262
IHF,0.18158307164500334
IHI,0.24598376943656808
IJH,0.30159033414670605
IJJ,0.2920183721704695
IJK,0.30260534624922225
IJR,0.2851884101778212
IJS,0.27471359154027913
IJT,0.28558709732214266
ILCB,0.28686102142968317
ILCG,0.28453466662818777
ILCV,0.25652660315119863
ILF,0.4023355142788942
ILTB,0.4938460382528088
IMCB,0.31092678474244584
IMCG,0.30021910002290103
IMCV,0.3072858453981743
INCO,0.24827119942650852
INDA,0.27169165939631607
INDL,0.2647313426299047
INDY,0.2687721850727974
IOO,0.3147727641613766
ISCG,0.2970439250532804
ISHG,0.6317176967346789
ISTB,0.5200567943178344
ITA,0.24700004044964438
ITB,0.32368637503812364
ITM,0.37258142728865934
ITOT,0.29468837643460494
IUSV,0.27247586153169323
IVE,0.26719047978415267
IVOO,0.29810609905256963
IVV,0.28301371769182276
IVW,0.27262965951797635
IWB,0.2898132713928742
IWC,0.2867437858938084
IWD,0.2796686621378992
IWF,0.2762959755692325
IWL,0.2783781804593013
IWM,0.29929921773625817
IWN,0.28610938968248617
IWO,0.2935774911220352
IWP,0.3070012561587999
IWR,0.3191561135114118
IWS,0.317487518552986
IWV,0.289457828176979
IWX,0.25496772500690645
IWY,0.26655040937877644
IXC,0.2551977960994846
IXJ,0.255958993109316
IXN,0.2729790697079211
IXUS,0.43193676626526667
IYC,0.2912381337888433
IYE,0.21473364392310018
IYF,0.2288007134026775
IYG,0.19364077273375718
IYH,0.20708165043907817
IYJ,0.2802804840335461
IYK,0.2601483921833067
IYR,0.3667924794427174
IYT,0.23631701998543708
IYY,0.2946696779279141
IYZ,0.243463102510505
JDST,-0.3630941367970162
JNK,0.4246078357869555
JNUG,0.36888151283340737
JPXN,0.2907387731029116
JXI,0.36646375753515165
KBE,0.14992901883951323
KBWB,0.14899338121480715
KBWP,0.17876014312883703
KBWY,0.32699220077894064
KCE,0.24983435830894749
KIE,0.20520727007673137
KOLD,-0.05571964819200473
KORU,0.37936166231150836
KRE,0.130887664858434
KWEB,0.21165012435184655
LDUR,0.19141196525052084
LEMB,0.5923977305596039
LIT,0.29576732290973595
LQD,0.506527183511438
LTPZ,0.414622416677214
MBB,0.4939112338973191
MCHI,0.2522886756256946
MDIV,0.3545335297311574
MDY,0.30037469740966627
MDYG,0.3035022281672964
MDYV,0.2893037769737605
MGC,0.27732132710623847
MGK,0.27680241341204115
MGV,0.23899992376742205
MIDU,0.3016961730411381
MINT,0.21751105924030156
MLN,0.3229445715854368
MLPA,0.2109545825318836
MLPX,0.2696431277301041
MNA,0.23218088562051079
MOAT,0.30827049882418955
MOO,0.35205443493420285
MORT,0.33808685161139984
MTUM,0.23509490117895274
MUB,0.40910981850577416
MUNI,0.34532686811374913
NEAR,0.18372197145323574
NFRA,0.4039210963721042
NFTY,0.22726017809617233
NLR,0.35349173884735435
NOBL,0.27736067959328004
NUGT,0.3809719533162318
NYF,0.38406348898236364
OEF,0.26216503584150447
OIH,0.20561953072139194
ONEQ,0.2721311662625889
PALL,0.3066245775638973
PBD,0.3662691336226915
PBE,0.19498083407946282
PBJ,0.24301079507334272
PBW,0.29294857429812
PCEF,0.38519062541611393
PCY,0.528771769697482
PDN,0.4428518157196263
PEY,0.26871204687417827
PFF,0.3893860253942159
PFM,0.28247345621360037
PFXF,0.39611199802774194
PGHY,0.22894606007390753
PGJ,0.22904011752814404
PGX,0.3592583541645951
PHB,0.42165112046088277
PHO,0.3057892014692344
PICB,0.7219530568419289
PICK,0.3699008724495477
PID,0.38214651246028325
PIE,0.3814132607847892
PIZ,0.4216442189834132
PNQI,0.276497718684305
PPA,0.24856671041606115
PPH,0.22472822964331854
PPLT,0.3964039174649788
PRF,0.2722621295571494
PRFZ,0.30036496319905437
PSI,0.23890164753177892
PSK,0.3768277405159305
PSQ,-0.2583270886860525
PWV,0.22889930160325456
PWZ,0.3171520127049891
PXE,0.16562754392497808
PXF,0.4022279846000881
PXH,0.3924286365278676
PZA,0.3662035767219175
PZT,0.2926848783434898
QAI,0.43485061303130046
QCLN,0.29180946314790673
QDF,0.28163879186883234
QID,-0.2584917023469263
QLD,0.2587926827521719
QLTA,0.5022250909754193
QQEW,0.2970351353641619
QQQ,0.25884765099334667
QQQE,0.2966223132411882
QTEC,0.2751132468311465
QUAL,0.27761850375438957
QYLD,0.20522725555743643
RAVI,0.19139095465631376
RDIV,0.2787584505562573
RDVY,0.25660063354494583
REM,0.3424759261638801
REMX,0.3000731869831471
RETL,0.23195064761720757
REZ,0.3409540819140044
RIGS,0.2945148024292581
RING,0.4130652607145102
RLY,0.43320455134649344
ROBO,0.35321849317735615
ROM,0.24520839755601004
RPG,0.28145851957896584
RPV,0.24803191724551096
RSP,0.29660460491546053
RSPD,0.28867398178168896
RSPG,0.203544172717096
RSPH,0.24905924073270877
RSPM,0.31127428366647525
RSPN,0.2705667369122072
RSPS,0.2211494843162276
RSPT,0.2735499026299025
RSPU,0.27636491258683443
RWJ,0.25616118112519104
RWK,0.2902262849082352
RWL,0.2618957359141726
RWM,-0.2973777499140529
RWO,0.4332648479093095
RWR,0.3494163874992589
RWX,0.5047516097770315
RXD,-0.19148799576500825
SCHA,0.30498665481113846
SCHB,0.29014873057736806
SCHC,0.47316836583727884
SCHD,0.24783911123462887
SCHE,0.3802266085982846
SCHF,0.4198675237467051
SCHG,0.2799373340588673
SCHH,0.35082103638862955
SCHM,0.31312268186901276
SCHO,0.40386975819288035
SCHP,0.4853727429148191
SCHR,0.4631419342006043
SCHV,0.27039583563722863
SCHX,0.28946821314873616
SCHZ,0.5257540247571761
SCJ,0.3071484542330502
SCO,-0.08203651050890266
SCZ,0.4582061246081284
SDIV,0.44235672091591016
SDOG,0.27109667121449027
SDOW,-0.12195499165826916
SDP,-0.2797479865488941
SDS,-0.282197711960672
SDY,0.27273242113635116
SGOL,0.4152937633375457
SH,-0.28388393377093696
SHM,0.3022568456196613
SHV,0.11975830837112374
SHY,0.42517425835278155
SHYD,0.29730399858141554
SHYG,0.3971140258912179
SIJ,-0.2156064644557962
SIL,0.4419911647529138
SILJ,0.4099830349907032
SIVR,0.42480269689747213
SJB,-0.40773346046867126
SJNK,0.40501088981896227
SKF,-0.2340874895004852
SKYY,0.28808891149688765
SLQD,0.425747297303722
SLV,0.42540197377435773
SLVO,0.424861636048385
SLVP,0.42178234091440536
SLYG,0.2787095489003198
SLYV,0.27336664246664166
SMB,0.29914895542695125
SMDD,-0.15745228252572857
SMH,0.2482254985561757
SMIN,0.2222972182601995
SMLV,0.26915472944569524
SMMU,0.24537829043049936
SOXL,0.24727030119265145
SOXS,-0.24316946549234777
SOXX,0.24556124817003835
SOYB,0.15549669788856796
SPAB,0.4924889933817268
SPBO,0.44622937196655627
SPDW,0.4279333164342387
SPEM,0.37861973821996764
SPEU,0.43087605016631253
SPGM,0.328465934109709
SPGP,0.27724483222968505
SPHB,0.2752881438720144
SPHD,0.29389768078038286
SPHQ,0.26118168074949694
SPHY,0.37478341724646586
SPIB,0.5257295921750972
SPIP,0.47967617259340023
SPLB,0.4671804908197202
SPLG,0.28147183546147103
SPLV,0.26691872369005615
SPMB,0.33673762885626063
SPMD,0.2927189520832332
SPSB,0.36822431769526254
SPSM,0.28259575390198843
SPTI,0.4609475106066926
SPTL,0.3723003322453802
SPTM,0.2881746960839776
SPTS,0.2310916513030735
SPXL,0.2835295446398921
SPXS,-0.28091165528513273
SPXU,-0.2814596515427077
SPY,0.28467498059291263
SPYG,0.27327592171592496
SPYV,0.26693700555703725
SQQQ,-0.25836330478699615
SRLN,0.2490035009350437
SRS,-0.36120876145592745
SRTY,-0.29545469924856627
SSG,-0.12687739803732134
SSO,0.28218822441537994
STIP,0.46141038922787353
STPZ,0.4722991823443859
SUB,0.30675784819468305
SUSA,0.296193236791901
SVXY,0.1495124919008324
SYLD,0.24755523444183652
TAN,0.26814692727727885
TBF,-0.3586387932436128
TBT,-0.36605532191422224
TDIV,0.2799131908574849
TDTF,0.4948378713481483
TDTT,0.4522085990283765
TECL,0.24931637761742478
TECS,-0.24682982592232813
THD,0.34445958338022903
TILT,0.3018086672091707
TIP,0.4856286543037317
TIPX,0.4376371213747682
TIPZ,0.4727176391463792
TLH,0.40776389927367235
TLT,0.3663937426967909
TMF,0.3666279511325887
TMV,-0.3632967150174426
TNA,0.29986466924550725
TQQQ,0.26039225653321957
