ETF2,Correlation
AAXJ,0.6679465597665684
ACWI,0.8559794572686638
ACWV,0.7964671343901414
ACWX,0.8107688540332106
AFK,0.6218123512555841
AGG,0.053658999001094165
AGQ,0.2759187502192955
AGZD,0.054747373996283724
AIA,0.6163517269852226
AMLP,0.5648230837406824
ANGL,0.5576106335966049
AOA,0.8473607535446539
AOK,0.6996371290806694
AOM,0.7662046059413872
AOR,0.8290603219526935
ARGT,0.5974020510347783
ASEA,0.6084898805823462
ASHR,0.38172932111996855
BAB,-0.00482961267742833
BIL,-0.004640562174182464
BIV,-0.02560579909827719
BIZD,0.5992153917071014
BKLN,0.5551157014791449
BLV,-0.010302262109398018
BND,0.052873948584892326
BNDX,0.05136556040743704
BNO,0.3390823779396822
BOIL,0.09384741162067181
BOND,0.08451477753894382
BRZU,0.5341794140040066
BSV,-0.011976700882526
BTAL,-0.3144705399692894
BWX,0.15721449515138042
BWZ,0.191608889405205
BZQ,-0.5056617813553594
CANE,0.13036288204761226
CEMB,0.3227567046993782
CGW,0.8266197746467343
CHIQ,0.4662016457679709
CMBS,-0.055385391860710065
CMF,0.05997492017683692
COPX,0.7091169338604245
CORN,0.10358471440139687
CORP,0.15352906423327012
CPER,0.27572366546533056
CQQQ,0.4641834840552099
CURE,0.6915538100518938
CWB,0.7126294013253387
CWI,0.8116092651248082
CXSE,0.42652708293201885
DBA,0.23269926589628015
DBB,0.37576484936142535
DBC,0.3995965395250114
DBEF,0.7537529622143974
DBEU,0.759510639717332
DBJP,0.6290640316879087
DBO,0.36545373545753396
DDM,0.8613189140357205
DEM,0.6982948924001193
DES,0.8181714903880145
DEW,0.8368245919827141
DFJ,0.6273039339886778
DGP,0.06411613381414359
DGRE,0.6619831365314226
DGRS,0.8015968536389622
DGRW,0.853118725010591
DGS,0.7029921204328539
DHS,0.8305541118964886
DIA,0.8617946405367758
DIG,0.6733578882568999
DIV,0.7266951638825264
DJP,0.39929920540971464
DLN,0.8635924570073678
DLS,0.7863394850852321
DNL,0.7683576828877039
DOG,-0.8598263878278664
DON,0.8735145298392694
DRN,0.6366661759829132
DRV,-0.6565207271981729
DSI,0.8363498343067198
DTD,0.8691545043812468
DTH,0.7838595368557211
DUG,-0.6856127845415828
DUST,-0.2541288964553102
DVY,0.8389795892545279
DVYE,0.6765713313541486
DWAS,0.7264682130056004
DWM,0.8020252871839629
DXD,-0.8611943813137182
DXJ,0.6334140567465653
DXJS,0.5873895693931306
EBND,0.49243753335835666
ECH,0.575383439470835
ECNS,0.4298723577173413
EDC,0.7052693475285765
EDIV,0.6593788852936213
EDV,-0.21879656258810307
EDZ,-0.7054883684878279
EELV,0.6821542768677432
EEM,0.7044339661333547
EEMA,0.6509469005309472
EEMV,0.693570353815008
EFA,0.8053345317999249
EFG,0.7735805811050761
EFV,0.7951685821512027
EFZ,-0.807661323644272
EIDO,0.5689865370129814
EMB,0.5146251062389305
EMHY,0.5615580726054987
EMLC,0.5101851646883389
ENFR,0.6588037236950205
ENOR,0.696851680723976
ENZL,0.5927113765403886
EPHE,0.5500048067974345
EPI,0.5824359150238224
EPOL,0.601584905283645
EPP,0.7510347006989112
EPS,0.8538436521373013
EPV,-0.7893764506739948
EQWL,0.8470214206267402
ERX,0.6844494152110352
ERY,-0.6957039381291542
EUFN,0.7273398222681009
EUM,-0.7054071833784149
EURL,0.7873496914831986
EUSA,0.874191042706283
EWA,0.745393999848887
EWC,0.8067259495320099
EWD,0.7501104958343894
EWG,0.7442726455087798
EWH,0.547690906671014
EWI,0.703059356550722
EWJ,0.6672895552003826
EWL,0.7025124357264618
EWM,0.5017921219702126
EWP,0.6897700965911704
EWQ,0.7578350125265647
EWS,0.645314726039046
EWT,0.5967391234669888
EWU,0.7674571544549598
EWV,-0.662678668488202
EWW,0.6308565338035843
EWX,0.7009682228024817
EWY,0.6520327079717828
EWZ,0.5580878959835681
EWZS,0.5005088410111924
EZA,0.6252099172588739
EZU,0.7655768628493729
FAN,0.6754464380024134
FAS,0.8365998550755368
FAZ,-0.8388606493876167
FBT,0.5394549377073076
FCA,0.41984238440112437
FCG,0.5728379267663618
FCOM,0.6607447669723326
FDD,0.7304549000587012
FDIS,0.7454819485746111
FDL,0.8068232652325502
FDN,0.6237863273500285
FDT,0.7914583348442671
FEM,0.6885680958284354
FEMS,0.6291479444495004
FENY,0.6842235400916704
FEZ,0.7712091021927387
FGD,0.8093796404573455
FHLC,0.7012909456954042
FIDU,0.8868252784150243
FIW,0.8495479730394102
FLOT,0.32110237105897754
FLRN,0.29665083698211936
FLTR,0.2817380097844648
FM,0.5651907523916028
FMAT,0.987842142771351
FMF,0.03547658950390814
FNCL,0.8225959161597277
FNDA,0.8508963966328177
FNDB,0.887532783147486
FNDC,0.8053338041974738
FNDE,0.7027225115117074
FNDF,0.8146943117376833
FNDX,0.8876314902288415
FPE,0.46387019522814255
FRI,0.650680262579225
FSTA,0.6625309179614214
FTA,0.8751724062151014
FTC,0.7676518311021792
FTCS,0.8316631249004286
FTEC,0.7129161607363051
FTGC,0.3788310007759468
FTQI,0.4966893640042391
FTRI,0.658213518611296
FTSL,0.43862059914096246
FUTY,0.5366411109310739
FVD,0.8445165030192078
FXH,0.6923798695021414
FXI,0.5066378001123466
FXL,0.7115402556373118
FXN,0.6581765855661551
FXO,0.8074254494218104
FXR,0.8846825859677118
FXU,0.627216064687891
FXY,-0.1579856931908251
FXZ,0.9281686256204512
FYLD,0.7514314264793702
GCC,0.3363919491136107
GDX,0.2825935676311092
GDXJ,0.3080774968387223
GLD,0.10294151389260907
GLTR,0.24470429502008195
GMF,0.6599918704893853
GNR,0.8378825273670442
GOVI,-0.2078035621500349
GOVT,-0.20095743352643097
GREK,0.5309452270479926
GRID,0.7215007557961645
GRPM,0.8462846088521658
GSG,0.38206934622489186
GSY,0.146314703751618
GUNR,0.8200671929080398
GVI,-0.022677944609721907
GWX,0.7779958300189771
GXC,0.5182745661532608
HAUZ,0.5920376268622283
HDGE,-0.7378461243702182
HEDJ,0.7452429888010719
HYD,0.3303183586404894
HYEM,0.42933377609739826
HYG,0.6892349641786218
HYLS,0.5277654438748128
HYMB,0.28449261800926184
HYS,0.6473844758426126
HYZD,0.3975728270704212
IAI,0.7805325376052402
IAK,0.7686138627623833
IAT,0.7200220280616545
IAU,0.10189303593857671
IBB,0.5558068474817035
IBND,0.22899775773054135
ICF,0.6240219333187549
ICLN,0.6367243816737401
ICSH,0.10337634262014525
IDHQ,0.714421929006341
IDLV,0.7710413112357801
IDMO,0.5456818354946573
IDU,0.5351526137619043
IDV,0.7867501281271684
IDX,0.5695568721447325
IEF,-0.1879962486164016
IEFA,0.8042393879756022
IEI,-0.14958231000968167
IEMG,0.7096336059373298
IEO,0.6495204474397773
IEV,0.791461980498866
IEZ,0.6410541268740955
IGE,0.7571570390686426
IGF,0.7704979041130323
IGIB,0.20456111672894525
IGLB,0.15857210991604032
IGM,0.6964743134000649
IGOV,0.12765698877544843
IGPT,0.5921181724245393
IGSB,0.20737379454654034
IGV,0.6288593458311227
IHE,0.6142893757291251
IHF,0.6495909209508648
IHI,0.6915014683202709
IJH,0.8734059606942696
IJJ,0.8689413335283022
IJK,0.8459132108899026
IJR,0.8191743432619278
IJS,0.7892135176556154
IJT,0.8105726541319723
ILCB,0.8388980544240222
ILCG,0.7350597154340843
ILCV,0.866322755470747
ILF,0.6501431682679027
ILTB,0.0078477984948778
IMCB,0.8735248313224985
IMCG,0.7744034946729679
IMCV,0.8761885266785183
INCO,0.525887210884639
INDA,0.6084488992417343
INDL,0.5863126671787218
INDY,0.5925013635204939
IOO,0.8096568138450798
ISCG,0.7539683835842703
ISHG,0.1619326164450718
ISTB,0.12918275939138082
ITA,0.7513247682487683
ITB,0.6866459680948241
ITM,0.08186321819751578
ITOT,0.8537332288501146
IUSV,0.8876524047962819
IVE,0.8849455232310639
IVOO,0.8729058963788584
IVV,0.8483548677715057
IVW,0.7580919863351494
IWB,0.8496959911415296
