ETF2,Correlation
AAXJ,0.5642264475404686
ACWI,0.7859153830436972
ACWV,0.8140746129009871
ACWX,0.682282733594108
AFK,0.4431743619495963
AGG,0.039479947728329724
AGQ,0.14373950744976846
AGZD,0.038725704492734055
AIA,0.502578360279267
AMLP,0.38459643121565146
ANGL,0.49490883923488477
AOA,0.7671954556894427
AOK,0.6421918720629731
AOM,0.6985278628695638
AOR,0.7544473903444164
ARGT,0.4674932259896302
ASEA,0.50414626369583
ASHR,0.31438885798224675
BAB,0.012388621193325846
BIL,-0.01988795638680596
BIV,-0.008380146990602522
BIZD,0.44431671963701874
BKLN,0.49271056747674874
BLV,0.007015436974664234
BND,0.06288880268859956
BNDX,0.07529140962667549
BNO,0.19879946556366124
BOIL,0.06679086740546622
BOND,0.08213562400827866
BRZU,0.4055156833344923
BSV,0.003992403607912649
BTAL,-0.18642388821751393
BWX,0.05514370857190318
BWZ,0.07780077583997935
BZQ,-0.37935003779919396
CANE,0.07409280777446291
CEMB,0.2642732653337481
CGW,0.7273166474772301
CHIQ,0.36114944724529763
CMBS,0.0009048218684812226
CMF,0.07202588692690766
COPX,0.4387431071006095
CORN,0.036493763222173584
CORP,0.14802181804786216
CPER,0.16077504489781894
CQQQ,0.37814849408878004
CURE,0.9965766748558527
CWB,0.6713671409310892
CWI,0.6844693680572999
CXSE,0.3396516103740795
DBA,0.12031570478899639
DBB,0.20948592534261157
DBC,0.2146114723463528
DBEF,0.6795134471369522
DBEU,0.6855886515432014
DBJP,0.5795691371938879
DBO,0.19551262676196304
DDM,0.8169310305455874
DEM,0.5617400487436689
DES,0.6358990713882742
DEW,0.7281530709101561
DFJ,0.5629254836625891
DGP,-0.014700244944563585
DGRE,0.5485169267666955
DGRS,0.6244123967830306
DGRW,0.8478398145851733
DGS,0.6012877972958102
DHS,0.7618184865567189
DIA,0.8169232925733096
DIG,0.45627824313837756
DIV,0.5859425181144924
DJP,0.2137454050867517
DLN,0.833883718664143
DLS,0.6477258145690611
DNL,0.6579735402200673
DOG,-0.8148777228044833
DON,0.6981414780831141
DRN,0.6021256400103336
DRV,-0.6262651192979257
DSI,0.8113865673919004
DTD,0.8153538066642361
DTH,0.6465311162438444
DUG,-0.46999270159812073
DUST,-0.11222816520173931
DVY,0.711081982918895
DVYE,0.5422771496977459
DWAS,0.6381245731507615
DWM,0.6839813569486161
DXD,-0.8180454183794792
DXJ,0.5713978733589031
DXJS,0.5470424212721948
EBND,0.3635964665506356
ECH,0.3943834756717943
ECNS,0.34804206468627524
EDC,0.5794043545406976
EDIV,0.553684505971151
EDV,-0.1711503245598897
EDZ,-0.5823002279660869
EELV,0.5810172612621728
EEM,0.5805631729017782
EEMA,0.5483464781858047
EEMV,0.5995802665131988
EFA,0.6883530727345987
EFG,0.6968535291754381
EFV,0.6460372075889418
EFZ,-0.6922805841619657
EIDO,0.5019107482522777
EMB,0.42007358526077077
EMHY,0.4684007636209783
EMLC,0.37066341973034217
ENFR,0.45373314375845863
ENOR,0.5142828263520153
ENZL,0.5114677568116459
EPHE,0.4866956688641505
EPI,0.5267729078320184
EPOL,0.4688580786261191
EPP,0.6308007818590217
EPS,0.8071458248117485
EPV,-0.6691948503094286
EQWL,0.7759817198955127
ERX,0.48513784341532756
ERY,-0.4988059658281337
EUFN,0.5624960725643849
EUM,-0.5807961462822705
EURL,0.6648365312524912
EUSA,0.7716287799498873
EWA,0.6259445539707624
EWC,0.609507247207501
EWD,0.6006810393991063
EWG,0.6184939631465084
EWH,0.4560041336231392
EWI,0.5721456697067457
EWJ,0.5901096462160061
EWL,0.6645816347680352
EWM,0.4257169209666239
EWP,0.5667055739892918
EWQ,0.6289590753128518
EWS,0.5271439315323273
EWT,0.5038903799703551
EWU,0.6355532212069358
EWV,-0.586771809464631
EWW,0.4892005709274972
EWX,0.5977554879667317
EWY,0.5399840950901496
EWZ,0.41912064205254357
EWZS,0.3673450200827532
EZA,0.4952992658411116
EZU,0.6343235471450119
FAN,0.5837789112581568
FAS,0.7156512317302579
FAZ,-0.7217108679663182
FBT,0.7514651033241373
FCA,0.3443614636729504
FCG,0.3419103932629204
FCOM,0.6180852555919447
FDD,0.578430308840604
FDIS,0.6642608199541786
FDL,0.7282721757536484
FDN,0.6233200585027062
FDT,0.6417130738149982
FEM,0.557483436968948
FEMS,0.5244205403751956
FENY,0.4644386954694628
FEZ,0.6411393412743133
FGD,0.6371234956284341
FHLC,0.9863568732839887
FIDU,0.7193126242758158
FIW,0.726451088385733
FLOT,0.27389211822740717
FLRN,0.23190847232354334
FLTR,0.2096532043201432
FM,0.4725126542170697
FMAT,0.6830641215163491
FMF,0.028332893630213817
FNCL,0.6845220353975713
FNDA,0.6644676786095113
FNDB,0.7754797737538286
FNDC,0.660661779000418
FNDE,0.5520249072057398
FNDF,0.6568923897086176
FNDX,0.7935271483666871
FPE,0.3802480097575947
