ETF2,Correlation
AAXJ,0.893786457537091
ACWI,0.6421741591873054
ACWV,0.5511091791431489
ACWX,0.716714797739605
AFK,0.5371618769865679
AGG,0.0423863952601559
AGQ,0.20530785490736742
AGZD,0.055681163853124514
AIA,0.9005728906318249
AMLP,0.3003476331087562
ANGL,0.38468111290130336
AOA,0.6214409267221794
AOK,0.5141613420468031
AOM,0.5720311209005745
AOR,0.6168775263334489
ARGT,0.46680081376181826
ASEA,0.5527531261435189
ASHR,0.7038058590656795
BAB,0.031636059099038376
BIL,-0.004647263865887267
BIV,-0.003969195652837424
BIZD,0.2845482623088468
BKLN,0.34748077273674155
BLV,0.007504182878372939
BND,0.04188972031495335
BNDX,0.03733164211368035
BNO,0.22851854031164343
BOIL,0.057847489697945134
BOND,0.06116704698019325
BRZU,0.4429415495836511
BSV,0.006802924484385282
BTAL,-0.22639156681982026
BWX,0.1515941759629198
BWZ,0.18354535635827052
BZQ,-0.4177747789964835
CANE,0.09392037302725158
CEMB,0.26803445156257777
CGW,0.5219263974355023
CHIQ,0.8891337068367177
CMBS,-0.037319019289929166
CMF,0.05916545924563092
COPX,0.5787316675187207
CORN,0.04530011005079214
CORP,0.12376807511150847
CPER,0.23452553611029
CQQQ,0.862959024785093
CURE,0.4126488671775136
CWB,0.5618854133975493
CWI,0.7150576609813647
CXSE,0.8610337249408326
DBA,0.15507469112120867
DBB,0.3417399373166939
DBC,0.28240573767368476
DBEF,0.5795848495020234
DBEU,0.5608006406770618
DBJP,0.4933080790638875
DBO,0.2389925069433953
DDM,0.5064907746905519
DEM,0.7263255173232143
DES,0.4397931499170247
DEW,0.556598116929009
DFJ,0.4669143278200726
DGP,0.0524677584564419
DGRE,0.7184779020451794
DGRS,0.44687636418023735
DGRW,0.5120532438589612
DGS,0.7277540259837928
DHS,0.4450928912335276
DIA,0.5080752657076419
DIG,0.36996202188439015
DIV,0.36525913966480966
DJP,0.2899997716410353
DLN,0.5010456337939302
DLS,0.6015697450903797
DNL,0.6671601197414367
DOG,-0.5036874777951078
DON,0.4751953597218959
DRN,0.33939474366696204
DRV,-0.35591813943870065
DSI,0.5501192730931471
DTD,0.4975183263521179
DTH,0.5993151506883996
DUG,-0.37614772686531894
DUST,-0.15217706481358004
DVY,0.42266745142282747
DVYE,0.6760570856765784
DWAS,0.47626443267844576
DWM,0.6155741122126009
DXD,-0.5049752353963888
DXJ,0.4762039552359087
DXJS,0.438311466489121
EBND,0.45795886500517485
ECH,0.4665306805089722
ECNS,0.7874277318499402
EDC,0.8510771518801432
EDIV,0.6984411692379059
EDV,-0.12236467929092328
EDZ,-0.8513979043095969
EELV,0.6790988332638822
EEM,0.8465596939085815
EEMA,0.8675530540965463
EEMV,0.7787623355495525
EFA,0.6269360628387608
EFG,0.633877224536384
EFV,0.5887559758365463
EFZ,-0.6258195533688462
EIDO,0.4851428964041655
EMB,0.3929122264262863
EMHY,0.4182748308744439
EMLC,0.45275792048840474
ENFR,0.36140968563466835
ENOR,0.5121778843624982
ENZL,0.4477831017483175
EPHE,0.4815511707328049
EPI,0.4962237932521011
EPOL,0.5059389524980297
EPP,0.6864597232845681
EPS,0.5320875134473372
EPV,-0.5906892313471253
EQWL,0.5030355145848195
ERX,0.3864867821706806
ERY,-0.3952933990298966
EUFN,0.5252886058851475
EUM,-0.84792013899185
EURL,0.5898345673606448
EUSA,0.5365319578514439
EWA,0.5698298598896239
EWC,0.5239047094252961
EWD,0.5606065083608129
EWG,0.561611178313204
EWH,0.7961426507460897
EWI,0.5174414793180799
EWJ,0.5312730910878137
EWL,0.5151617047928003
EWM,0.47514698683865336
EWP,0.48845011686081635
EWQ,0.5624711853449391
EWS,0.6284824336780798
EWT,0.6169955262532116
EWU,0.557011926457949
EWV,-0.5230364372538204
EWW,0.48490741553504657
EWX,0.7194105509707779
EWY,0.6512316011326936
EWZ,0.46154855567086767
EWZS,0.39922997821384704
EZA,0.6365733782367362
EZU,0.5784183035790661
FAN,0.5399778346351106
FAS,0.4695859208303064
FAZ,-0.4740274819145535
FBT,0.42326493168455764
FCA,0.7149333422485882
FCG,0.3226027429292242
FCOM,0.4888244801538018
FDD,0.5142483019531594
FDIS,0.5350341088099319
FDL,0.422784560290832
FDN,0.5285492766872253
FDT,0.6369833286788265
FEM,0.7531938007940254
FEMS,0.66375846198781
FENY,0.37580234817208213
FEZ,0.5814173042656661
FGD,0.5654178803936817
FHLC,0.4397806609686803
FIDU,0.483729384375634
FIW,0.46715055107778647
FLOT,0.20350860462661674
FLRN,0.1864031349145048
FLTR,0.1832119497613586
FM,0.44252426929251665
FMAT,0.509478877831463
FMF,-0.007784557272625037
FNCL,0.45407078044694343
FNDA,0.49516102925360056
FNDB,0.5135705162149976
FNDC,0.6140735722426188
FNDE,0.7543217004153265
FNDF,0.5993255412078579
FNDX,0.5171069620371846
FPE,0.2795123279271868
FRI,0.34821694729767444
FSTA,0.354900318879614
FTA,0.47697192237986824
FTC,0.5282552869606018
FTCS,0.4813097924287127
FTEC,0.536074957547323
FTGC,0.26570187484305796
FTQI,0.3110901291224147
FTRI,0.5028202840248076
FTSL,0.2389060547412179
FUTY,0.2298447756167894
FVD,0.4493693700654642
FXH,0.4596467300377998
FXI,0.9945232646700288
FXL,0.5407211583039768
FXN,0.3761841345114609
FXO,0.43683303985348393
FXR,0.5010440513971048
FXU,0.2904265074272363
FXY,-0.10601077248352218
FXZ,0.49971914508990806
FYLD,0.5582285825690773
GCC,0.2506437083525546
GDX,0.17589206569994464
GDXJ,0.1997162500660253
GLD,0.07511045857191363
GLTR,0.19673535556568855
GMF,0.8873062478185145
GNR,0.5560777126114442
GOVI,-0.12043297241823826
GOVT,-0.10800865873628454
GREK,0.4041369255522738
GRID,0.48740950378765047
GRPM,0.49281480628816465
GSG,0.2600582472056065
GSY,0.09274900824462691
GUNR,0.5496068720889313
GVI,-0.0013171607093063157
GWX,0.6107808606342748
GXC,0.9653568689932914
HAUZ,0.5420776129012296
HDGE,-0.5021895989074048
HEDJ,0.5536786648405556
HYD,0.19375279518401453
HYEM,0.3190334640365737
HYG,0.45507417939377526
HYLS,0.3345993066996481
HYMB,0.1810516379979327
HYS,0.4179041039094064
HYZD,0.2808060981139376
IAI,0.4750641888485688
IAK,0.3865388387328377
IAT,0.3793093732234468
IAU,0.07512883802231972
IBB,0.438123902541997
IBND,0.15936953290365521
ICF,0.33695701528059774
ICLN,0.5404612323153923
ICSH,0.0650478969977046
IDHQ,0.5694839621783172
IDLV,0.5718584098061008
IDMO,0.4125917675031603
IDU,0.2315290531238585
IDV,0.5809363681420529
IDX,0.5057456511064344
IEF,-0.11867822683043132
IEFA,0.6257037039525196
IEI,-0.0984117798036107
IEMG,0.8390202702531968
IEO,0.3694233518840282
IEV,0.5880294679752204
IEZ,0.3537947399131287
IGE,0.4297741273961486
IGF,0.4990812381987124
IGIB,0.13984554194993576
IGLB,0.12268619263468056
IGM,0.5444967290749028
IGOV,0.11320833858168089
IGPT,0.49062900495096906
IGSB,0.16343096248701872
IGV,0.4978118751667192
IHE,0.3964511074208787
IHF,0.3631138872993448
IHI,0.45668707870677605
IJH,0.5179129952320544
IJJ,0.4883957836315099
IJK,0.5283696083973154
IJR,0.4780286101231506
IJS,0.43624185359636447
IJT,0.4947756761120995
ILCB,0.5389964685191764
ILCG,0.542821902069614
ILCV,0.495970777710506
ILF,0.5184204817112237
ILTB,0.025371394774908476
IMCB,0.528139707323293
IMCG,0.5424104986031465
IMCV,0.4756036544209777
INCO,0.44023524087047755
INDA,0.5014417047273549
INDL,0.489260423085467
INDY,0.497235924072071
IOO,0.5756047391585863
ISCG,0.5293895038659752
ISHG,0.13283190003360232
ISTB,0.09531056185341025
ITA,0.4043710865573312
ITB,0.37799555348858715
ITM,0.08022083769262271
ITOT,0.5542274125889967
IUSV,0.5078225140037964
IVE,0.5056536433354009
IVOO,0.5184883111420825
IVV,0.5470277114369984
IVW,0.5370258265785866
IWB,0.5515010930469748
IWC,0.4831875079436265
IWD,0.5126824636597664
IWF,0.5417719512514845
IWL,0.5406211150019927
IWM,0.5111498751556633
IWN,0.46755721129975447
IWO,0.5241296798364038
IWP,0.5530312767954586
IWR,0.544179464619018
IWS,0.5072703819106247
IWV,0.5535375208078768
IWX,0.5014599517241755
IWY,0.5272432889112891
IXC,0.422354257509424
IXJ,0.4612126133519267
IXN,0.5638582695105528
IXUS,0.7101074634555137
IYC,0.5359706657301581
IYE,0.3821684134933065
IYF,0.4745561296482312
IYG,0.48355938733345666
IYH,0.42791651626533794
IYJ,0.5137092349505176
IYK,0.41423783659501245
IYR,0.370909057474184
IYT,0.47933793917021156
IYY,0.5527750567745642
IYZ,0.4557029286257503
JDST,-0.16598875396525656
JNK,0.45240729048839373
JNUG,0.1473215001335526
JPXN,0.5011531448216432
JXI,0.33982780479039704
KBE,0.3860017275846727
KBWB,0.41333531610201657
KBWP,0.32337642541048023
KBWY,0.3198882888745578
KCE,0.5093489703712566
KIE,0.4068959413669228
KOLD,-0.05912429163747408
KORU,0.6306219098978514
KRE,0.36162556313145355
KWEB,0.8396370083241402
LDUR,0.005046347668191002
LEMB,0.4415919695109639
LIT,0.6198743970022725
LQD,0.13646421656259738
LTPZ,-0.04349914148885661
MBB,0.07574038026237646
MCHI,0.9729735343514295
MDIV,0.3607457334923051
MDY,0.516893874164876
MDYG,0.5242462227477463
MDYV,0.4823631339498954
MGC,0.5447467037424814
MGK,0.5375694233709712
MGV,0.48979515925002637
MIDU,0.5152821476178925
MINT,0.03355966030581763
MLN,0.09831082705292787
MLPA,0.3035077378655895
MLPX,0.36880700155355395
MNA,0.30652433764423287
MOAT,0.5198172207717099
MOO,0.5542339955222677
MORT,0.2814284970453565
MTUM,0.5035903576377725
MUB,0.12042511076988326
MUNI,0.06262241696584896
NEAR,0.04368748058144018
NFRA,0.5289462240944223
NFTY,0.35265137462021867
NLR,0.3909837202366863
NOBL,0.46666541886968965
NUGT,0.1438474897973154
NYF,0.0749695470168242
OEF,0.5405098268248345
OIH,0.348776715053205
ONEQ,0.5623137927705685
PALL,0.29117974541094244
PBD,0.5916877061835325
PBE,0.410996684644297
PBJ,0.3683277628746317
PBW,0.5025775614829119
PCEF,0.4500571956094161
PCY,0.3844241826343719
PDN,0.6115015328429458
PEY,0.4046308469676833
PFF,0.3449176959687071
PFM,0.48335807801409203
PFXF,0.35116153203476036
PGHY,0.21946993718305433
PGJ,0.810768527511793
PGX,0.28826083511575257
PHB,0.4282823552873172
PHO,0.4685918953360517
PICB,0.22066002193379441
PICK,0.5881665893644669
PID,0.5424715967733948
PIE,0.7084338246048574
PIZ,0.5892285855609702
PNQI,0.6035298196733084
PPA,0.42078847000006875
PPH,0.41855832175525354
PPLT,0.2938388955837518
PRF,0.5170318238102525
PRFZ,0.5091817515325617
PSI,0.5222412755574682
PSK,0.2787090004382195
PSQ,-0.5461819762011175
PWV,0.48103592431584874
PWZ,0.06804088813830093
PXE,0.35007288287750726
PXF,0.6064799782934556
PXH,0.7810643361147902
PZA,0.09932293296451372
PZT,0.11321722708575588
QAI,0.5729667863752865
QCLN,0.5182728020667358
QDF,0.5126314232374698
QID,-0.5484246117752635
QLD,0.5500273213987541
QLTA,0.11689371771832208
QQEW,0.5950006314049711
QQQ,0.5502926767619736
QQQE,0.590114987532274
QTEC,0.5682780924063312
QUAL,0.5298429604716945
QYLD,0.4759458772024855
RAVI,0.007685594519821507
RDIV,0.40555309543486656
RDVY,0.5142992432445055
REM,0.2982815599300751
REMX,0.5538351152553577
RETL,0.4078630637705418
REZ,0.27807100914479904
RIGS,0.3003134608309537
RING,0.18716559810901343
RLY,0.49703784937754186
ROBO,0.609591927430304
ROM,0.5241483370148307
RPG,0.5420005809111273
RPV,0.4628088528278353
RSP,0.5265867041296658
RSPD,0.4984741955246747
RSPG,0.37274917977072247
RSPH,0.4599216524228807
RSPM,0.4848496898205817
RSPN,0.47299336637563355
RSPS,0.32592442210035993
RSPT,0.5539835230093773
RSPU,0.24165280893055177
RWJ,0.43544243667655563
RWK,0.4977047607676988
RWL,0.5082979967868574
RWM,-0.5090187939981737
RWO,0.4335887514034694
RWR,0.34403052396599276
RWX,0.5297938195162857
RXD,-0.36039017871432316
SCHA,0.5218021800328231
SCHB,0.5505823855153288
SCHC,0.6096286538333174
SCHD,0.4732418956789533
SCHE,0.8472206409254918
SCHF,0.6313975497110845
SCHG,0.5426857425277162
SCHH,0.3466276248358008
SCHM,0.5345659961377682
SCHO,-0.08252580867113446
SCHP,-0.007081707521940921
SCHR,-0.11066064337139395
SCHV,0.5060268569090283
SCHX,0.5504209330278407
SCHZ,0.03564315886467791
SCJ,0.48171279268524037
SCO,-0.14022669565574591
SCZ,0.6039875547499818
SDIV,0.5826070474148052
SDOG,0.45899001020347135
SDOW,-0.238546839714604
SDP,-0.2006225944072491
SDS,-0.5451031507011628
SDY,0.43749921065155073
SGOL,0.07214850850626604
SH,-0.5439258186395383
SHM,0.09999127976132587
SHV,-0.03075294715042171
SHY,-0.0526804881912817
SHYD,0.1769197632166279
SHYG,0.4189600791299153
SIJ,-0.39510820058287094
SIL,0.23667822353808243
SILJ,0.2354567229604649
SIVR,0.20561176673396536
SJB,-0.45615024831446677
SJNK,0.4194343528474334
SKF,-0.4745179483945205
SKYY,0.5242034621619056
SLQD,0.12789453191749042
SLV,0.20457797393892893
SLVO,0.20822912486769993
SLVP,0.22421253310181505
SLYG,0.4919110181131514
SLYV,0.44947570468300296
SMB,0.09642920686616488
SMDD,-0.2704247420394946
SMH,0.5322669263362901
SMIN,0.41922605736392377
SMLV,0.40097810654827787
SMMU,0.04946254913185004
SOXL,0.5289765581491895
SOXS,-0.5319280323697628
SOXX,0.5333432817606719
SOYB,0.15905452144732526
SPAB,-0.004490697313406681
SPBO,0.09246814615797956
SPDW,0.6390136000281381
SPEM,0.8447637977337797
SPEU,0.5834572158591097
SPGM,0.5503671691770765
SPGP,0.524141557246014
SPHB,0.5409573080158915
SPHD,0.40357362784042883
SPHQ,0.531853203033285
SPHY,0.3187823575800917
SPIB,0.12101398542407296
SPIP,-0.007220136816299924
SPLB,0.10322579608585987
SPLG,0.5312962205394529
SPLV,0.3865040148707322
SPMB,0.10046241487763556
SPMD,0.49901063664656814
SPSB,0.13375481965338412
SPSM,0.48188692360572205
SPTI,-0.0927881284440982
SPTL,-0.13644942690900655
SPTM,0.5342528527330351
SPTS,-0.06606659695975509
SPXL,0.5464304793834399
SPXS,-0.5464905861641797
SPXU,-0.5443290353611553
SPY,0.5451743458493441
SPYG,0.5365573830487076
SPYV,0.5010528321663517
