ETF2,Correlation
AAXJ,0.8922767372403159
ACWI,0.6395335398699861
ACWV,0.5455226790194188
ACWX,0.7137327701630584
AFK,0.5308822850630586
AGG,0.04630416379225784
AGQ,0.2006445124778472
AGZD,0.05971347340162999
AIA,0.9004898775237683
AMLP,0.3002314111514221
ANGL,0.38488999085727393
AOA,0.622488118752356
AOK,0.5145287297408554
AOM,0.5712560936077415
AOR,0.61750691962692
ARGT,0.46601797394583816
ASEA,0.549368139785609
ASHR,0.701601959491294
BAB,0.031988680308833325
BIL,-0.0026728585316704626
BIV,-0.0008869960072474998
BIZD,0.28885981035041175
BKLN,0.3443521731327144
BLV,0.010900576489209722
BND,0.04518771516297712
BNDX,0.036242525881251236
BNO,0.22595901431365015
BOIL,0.05682051236091838
BOND,0.059532727636113995
BRZU,0.441458363679887
BSV,0.005859534934150594
BTAL,-0.23022036470991317
BWX,0.15782762089517532
BWZ,0.1864710396531749
BZQ,-0.41269431880885243
CANE,0.0945205035600275
CEMB,0.2665497644058252
CGW,0.5177703725499625
CHIQ,0.8914506876936065
CMBS,-0.036734033369843724
CMF,0.06288470244374467
COPX,0.5757196777395585
CORN,0.045506320658591566
CORP,0.12409872475519267
CPER,0.23608796860083806
CQQQ,0.8648050861830396
CURE,0.4106738525088933
CWB,0.5611479656983595
CWI,0.7130805983654798
CXSE,0.8616916032260192
DBA,0.15620656440906594
DBB,0.3467646437169365
DBC,0.2796694998246343
DBEF,0.5750012452647274
DBEU,0.5558753234026914
DBJP,0.48973463510326143
DBO,0.23595422196943283
DDM,0.5059402692853938
DEM,0.7222473845407349
DES,0.4368398627503268
DEW,0.5544731662018081
DFJ,0.4642918899915667
DGP,0.05002338368524462
DGRE,0.7133502056992287
DGRS,0.43589268249331187
DGRW,0.5093473679258869
DGS,0.7241728191086181
DHS,0.4428146892333455
DIA,0.5059380759253125
DIG,0.372705148815117
DIV,0.36301788623635134
DJP,0.2876962509552979
DLN,0.49833264109994163
DLS,0.6014515857608648
DNL,0.6630376766953122
DOG,-0.5023335393281649
DON,0.4727022300435409
DRN,0.3418954946856941
DRV,-0.3514656572388805
DSI,0.5486771517092269
DTD,0.4950491270584294
DTH,0.5952794373683259
DUG,-0.37692080173238135
DUST,-0.1467821017500168
DVY,0.42091146841469285
DVYE,0.6732894438269394
DWAS,0.4722675961458592
DWM,0.6126447511672878
DXD,-0.5034780350426357
DXJ,0.47389881689129815
DXJS,0.4347121888940235
EBND,0.4582605682313624
ECH,0.4626139766968729
ECNS,0.7877953878155751
EDC,0.8490916720211097
EDIV,0.69403874271209
EDV,-0.11884766855676313
EDZ,-0.8489945620142567
EELV,0.6762085265530255
EEM,0.8432280516621083
EEMA,0.8659658852704467
EEMV,0.7752734039301638
EFA,0.6242734851154259
EFG,0.6309702048346131
EFV,0.5855919223711288
EFZ,-0.6237789836007008
EIDO,0.484642305337303
EMB,0.3908841900888047
EMHY,0.412145881910623
EMLC,0.4515256582847161
ENFR,0.36110627225638114
ENOR,0.5113201232584419
ENZL,0.44283520053349273
EPHE,0.472841869541847
EPI,0.4928359589155165
EPOL,0.5019442593657509
EPP,0.6834408017028929
EPS,0.5307002156104287
EPV,-0.587400203285084
EQWL,0.5010556679728163
ERX,0.3890646200989395
ERY,-0.394895890115997
EUFN,0.522667828404329
EUM,-0.8455957149100443
EURL,0.587331262259262
EUSA,0.5346013891985142
EWA,0.5649591470016103
EWC,0.5257241032710936
EWD,0.5583565913538373
EWG,0.5598705566878647
EWH,0.7945424040800877
EWI,0.5154732232325505
EWJ,0.5300323650741596
EWL,0.5107699435138099
EWM,0.4690434938376976
EWP,0.48343677079952624
EWQ,0.5606781201636166
EWS,0.6285780370864136
EWT,0.6155515569518082
EWU,0.5545700707337716
EWV,-0.5219555775679092
EWW,0.47878474568074175
EWX,0.7163242570300239
EWY,0.6464682708355798
EWZ,0.45491365734699046
EWZS,0.395105557040742
EZA,0.6356477686396418
EZU,0.5766289958300453
FAN,0.5364300674075355
FAS,0.4713225944654626
FAZ,-0.4740433329070474
FBT,0.4242082891163827
FCA,0.7132699622670695
FCG,0.32443622081513696
FCOM,0.48847603309412535
FDD,0.5115016646727119
FDIS,0.5341333631234693
FDL,0.4213221870185987
FDN,0.5275530711937505
FDT,0.6348407961241611
FEM,0.7484334394158714
FEMS,0.6603854052512046
FENY,0.3759418263562184
FEZ,0.5789245186629636
FGD,0.5629263506025657
FHLC,0.4380970824639575
FIDU,0.48353884285902676
FIW,0.46432913287293975
FLOT,0.19167148560151206
FLRN,0.17628126751869444
FLTR,0.1684515161096764
FM,0.4359716782505276
FMAT,0.5071108645085196
FMF,-0.010520730437224264
FNCL,0.4548755910595556
FNDA,0.49442323344118505
FNDB,0.5118892077778696
FNDC,0.6110079504752398
FNDE,0.7505291343971241
FNDF,0.596529638723503
FNDX,0.515840369070011
FPE,0.26856952212383056
FRI,0.34353297980630254
FSTA,0.350945861014593
FTA,0.4766746627196306
FTC,0.5257420387929289
FTCS,0.4789590664102578
FTEC,0.5346554204661097
FTGC,0.26305332702074924
FTQI,0.3106839416308693
FTRI,0.4987663871910886
FTSL,0.2435974229505616
FUTY,0.22336921871829576
FVD,0.44487576938992773
FXH,0.45700345979940976
FXI,0.9957849080752861
FXL,0.5383487348559896
FXN,0.37676784608370206
FXO,0.4377878913131155
FXR,0.5020238995055529
FXU,0.28396715335859807
FXY,-0.10323408957876656
FXZ,0.498014925443131
FYLD,0.5558799273667389
GCC,0.24814937866355144
GDX,0.17140437048138474
GDXJ,0.19275220897254663
GLD,0.07070059775631267
GLTR,0.19245976340340762
GMF,0.8864618792834938
GNR,0.5537549792191384
GOVI,-0.11573598981827556
GOVT,-0.10262503985358003
GREK,0.40053865008109396
GRID,0.48472558155740103
GRPM,0.4897477741003141
GSG,0.2574179511889274
GSY,0.09366605345663924
GUNR,0.5463370137495772
GVI,0.0024791706064625275
GWX,0.60786584049025
GXC,0.9666678242084884
HAUZ,0.5414639068280944
HDGE,-0.5020290309356351
HEDJ,0.5493789351880761
HYD,0.18516137816095102
HYEM,0.32403993432401734
HYG,0.4541199950476002
HYLS,0.3414211237866159
HYMB,0.17245355458710512
HYS,0.41512076776140333
HYZD,0.27792750420890044
IAI,0.473767145037878
IAK,0.3837417841245296
IAT,0.3806912486664088
IAU,0.07046445535338257
IBB,0.43702085912186295
IBND,0.16040322938002538
ICF,0.33301622026071387
ICLN,0.5380503857030778
ICSH,0.06213491975521129
IDHQ,0.5662639224112865
IDLV,0.5691905693498807
IDMO,0.4070622785950212
IDU,0.22491614375094196
IDV,0.5781695257104031
IDX,0.5058323883903668
IEF,-0.11409188957941821
IEFA,0.6232159207088553
IEI,-0.0954639040881936
IEMG,0.835647990572667
IEO,0.37094920223485434
IEV,0.5850278818879247
IEZ,0.35363862467151735
IGE,0.42913935369845935
IGF,0.49453645076828534
IGIB,0.1353352026802605
IGLB,0.12408412359637741
IGM,0.5428106729555593
IGOV,0.11569492003246322
IGPT,0.4876932110280293
IGSB,0.1538213551268031
IGV,0.49599231947225597
IHE,0.39297757646909653
IHF,0.3600758898282069
IHI,0.45474421645308527
IJH,0.5154646059279454
IJJ,0.4861804846908135
IJK,0.5276601025998976
IJR,0.47743762317331934
IJS,0.4430937097806306
IJT,0.4904586428792526
ILCB,0.5374776333984801
ILCG,0.5414316648577558
ILCV,0.49500302145298725
ILF,0.5137286879000611
ILTB,0.028854845954765142
IMCB,0.5199157882527821
IMCG,0.539851421292808
IMCV,0.4757642000914096
INCO,0.4362928024623713
INDA,0.49505555085967834
INDL,0.4874278299379616
INDY,0.49573799776109456
IOO,0.5721112580826677
ISCG,0.5279819692052153
ISHG,0.13498405548610712
ISTB,0.09473062673779381
ITA,0.4034362096556858
ITB,0.3783548904612904
ITM,0.07626274951899292
ITOT,0.5531276161483507
IUSV,0.5072808772699309
IVE,0.5049519199873427
IVOO,0.5162485286633082
IVV,0.5451890060041535
IVW,0.5358445399704785
IWB,0.5495195904460306
IWC,0.47980700210265986
IWD,0.5108785687245724
IWF,0.5403307974133325
IWL,0.5381579951396575
IWM,0.5106346425468288
IWN,0.46643475333612044
IWO,0.5233932143203647
IWP,0.5516107172061497
IWR,0.5418546583320473
IWS,0.5057777324129618
IWV,0.5511956135179044
IWX,0.49988432917942577
IWY,0.5266502349191288
IXC,0.4211468719654818
IXJ,0.4584352102426014
IXN,0.5614378434083547
IXUS,0.7089774103781408
IYC,0.5364354619579224
IYE,0.38206380117364275
IYF,0.47563468090362304
IYG,0.4843827461291476
IYH,0.42649564927451217
IYJ,0.5130773101524078
IYK,0.4104586475326393
IYR,0.3673514639987162
IYT,0.4785377131974756
IYY,0.5507151902665736
IYZ,0.4561453808176726
JDST,-0.15884698084507146
JNK,0.4515498662353194
JNUG,0.14220022879919683
JPXN,0.4997385214442374
JXI,0.33197982988947755
KBE,0.38756806030842955
KBWB,0.4143555620473274
KBWP,0.3176618252185056
KBWY,0.31706317128308936
KCE,0.5108981403154013
KIE,0.4045944335929812
KOLD,-0.057699907201290104
KORU,0.6330182514038489
KRE,0.3626215147920172
KWEB,0.8425747734108524
LDUR,0.0028298672417118014
LEMB,0.4430503863492435
LIT,0.6180407841156684
LQD,0.13846276873885485
LTPZ,-0.03882610461636925
MBB,0.07836073627212087
MCHI,0.9748093681341318
MDIV,0.362294995457674
MDY,0.5153806185702092
MDYG,0.5227197660787154
MDYV,0.4808286340698233
MGC,0.5427375597145239
MGK,0.5357178536055462
MGV,0.48866723461177813
MIDU,0.5125170956967782
MINT,0.03181167131175231
MLN,0.0983039171193561
MLPA,0.3045426961460662
MLPX,0.36840165737277586
MNA,0.2922945164314935
MOAT,0.5187826196123496
MOO,0.551431483627159
MORT,0.2850118803559307
MTUM,0.5002251387779195
MUB,0.11264192282172039
MUNI,0.0594019838529319
NEAR,0.046096092995375926
NFRA,0.5239840649140736
NFTY,0.34855528452556134
NLR,0.38627294305413123
NOBL,0.4642011595624602
NUGT,0.13965081333349097
NYF,0.07475973310056927
OEF,0.5388731779079782
