ETF2,Correlation
AAXJ,0.5973846523006745
ACWI,0.7248081721606437
ACWV,0.7020732626657038
ACWX,0.7077336201554814
AFK,0.570556823833545
AGG,0.2637260301444076
AGQ,0.25722097657014564
AGZD,0.10362646666891683
AIA,0.5449528269397368
AMLP,0.5773951422081665
ANGL,0.6941773965937081
AOA,0.7302019881759649
AOK,0.6993284430996367
AOM,0.7135369870025062
AOR,0.7244160424831653
ARGT,0.5509224171433698
ASEA,0.5596655255494596
ASHR,0.29380682931051927
BAB,0.2600088533086573
BIL,-0.04343574071950945
BIV,0.16276932292916219
BIZD,0.6823767863993586
BKLN,0.6665569064804915
BLV,0.21545050637623014
BND,0.25480857537611046
BNDX,0.2156342546028798
BNO,0.3073937675274808
BOIL,0.07030614403666331
BOND,0.29198099463215815
BRZU,0.5212433990770066
BSV,0.16358203579914068
BTAL,-0.22210089918640602
BWX,0.255001433595735
BWZ,0.18315923338192366
BZQ,-0.47627567635410806
CANE,0.14384045141500315
CEMB,0.4610153363415635
CGW,0.679150794064374
CHIQ,0.4132092923715884
CMBS,0.09645762132402015
CMF,0.16271233302541568
COPX,0.5476559297073804
CORN,0.07863837399677968
CORP,0.34323276897367994
CPER,0.19894351463116586
CQQQ,0.40080098287532007
CURE,0.5805993839449669
CWB,0.7017769837960735
CWI,0.6966629106882801
CXSE,0.39173355986180225
DBA,0.18673942286429693
DBB,0.2634867994955906
DBC,0.3427856645542126
DBEF,0.6274187258197692
DBEU,0.645326764150389
DBJP,0.5043569333882727
DBO,0.3247757122971613
DDM,0.6992159066069413
DEM,0.6333236344322852
DES,0.6658569658206845
DEW,0.7227424789273987
DFJ,0.5188612142237212
DGP,0.10017069628259186
DGRE,0.6261228391554094
DGRS,0.6343376439291875
DGRW,0.6861585169251927
DGS,0.6556254826591517
DHS,0.7012649243328013
DIA,0.6999690199532715
DIG,0.5669258526376905
DIV,0.7625990911856646
DJP,0.3399563073606106
DLN,0.7116685477052617
DLS,0.6920440741701366
DNL,0.6910741765197309
DOG,-0.6992195375595462
DON,0.722079693451489
DRN,0.6335514213502165
DRV,-0.6398902928533122
DSI,0.6880650473626891
DTD,0.7202196284809707
DTH,0.67534748458576
DUG,-0.5800909858362344
DUST,-0.22029981770173646
DVY,0.677538831775485
DVYE,0.624201401392348
DWAS,0.6402851832240333
DWM,0.6869945815474755
DXD,-0.7007582368284749
DXJ,0.5025596752584037
DXJS,0.47450065465896674
EBND,0.5160528853119225
ECH,0.5331086665504425
ECNS,0.38220994777464967
EDC,0.6346452754653303
EDIV,0.62002947777255
EDV,-0.022673731336305087
EDZ,-0.6331226871836618
EELV,0.6422430217156374
EEM,0.6367237797537076
EEMA,0.5945955499592593
EEMV,0.6418383199874171
EFA,0.6860003729079773
EFG,0.6653229330255334
EFV,0.6679375932996738
EFZ,-0.6878598512434738
EIDO,0.5510636380792288
EMB,0.6634552416630798
EMHY,0.7007329241133543
EMLC,0.5515119553190624
ENFR,0.6678309111252725
ENOR,0.6187405920902795
ENZL,0.5332480149173288
EPHE,0.544995558646441
EPI,0.5741263289872568
EPOL,0.5171029951728435
EPP,0.660371456361198
EPS,0.7026828634027429
EPV,-0.6709474190188887
EQWL,0.6919625013494081
ERX,0.6039334447239787
ERY,-0.6151234121425425
EUFN,0.6008160299788268
EUM,-0.6339597373298291
EURL,0.6769014195303521
EUSA,0.7330117613622184
EWA,0.6652720202184066
EWC,0.7047812110328362
EWD,0.6175682959625205
EWG,0.6259857245094484
EWH,0.4732719304213422
EWI,0.5679775861832608
EWJ,0.5550630527778446
EWL,0.6054210794856313
EWM,0.48337442320739266
EWP,0.5841124742780205
EWQ,0.6448805048263557
EWS,0.5859207217598598
EWT,0.5456222067449138
EWU,0.6607807261899962
EWV,-0.5515357855395934
EWW,0.575259952589307
EWX,0.6668614301093793
EWY,0.5949535138277613
EWZ,0.5251656301717391
EWZS,0.5281192805420787
EZA,0.5715943973496751
EZU,0.6468105104978896
FAN,0.6306429942155342
FAS,0.6840908077896544
FAZ,-0.684666587041174
FBT,0.46575445156069434
FCA,0.38930031606689364
FCG,0.4530896288687846
FCOM,0.5769848542406899
FDD,0.6408678724728107
FDIS,0.6387303137558565
FDL,0.6758914368194145
FDN,0.5499408310342644
FDT,0.6871879590988385
FEM,0.638677166245405
