ETF2,Correlation
AAXJ,-0.13772550640116155
ACWI,-0.12896164521520656
ACWV,-0.13571307921154496
ACWX,-0.1408428342822076
AFK,-0.1835163610690064
AGG,-0.11538705223413027
AGQ,-0.5003081191401352
AGZD,0.014003669245026327
AIA,-0.1276365824932554
AMLP,-0.07788358867975152
ANGL,-0.1188875384005338
AOA,-0.1303537863462136
AOK,-0.16726462327515373
AOM,-0.15661101156254736
AOR,-0.1480474059639599
ARGT,-0.1364427870217344
ASEA,-0.14296029788748074
ASHR,-0.08324309932783681
BAB,-0.0994832189478244
BIL,0.00307537947206402
BIV,-0.12096443989999961
BIZD,-0.08360382708033386
BKLN,-0.09641648170217891
BLV,-0.0986727575375978
BND,-0.11004840437384589
BNDX,-0.09258888207564143
BNO,-0.10289745188024543
BOIL,-0.020026050547895125
BOND,-0.11884708212967282
BRZU,-0.10209584654623377
BSV,-0.12416929153949535
BTAL,0.034788874642968745
BWX,-0.2069822495903105
BWZ,-0.19629789226942163
BZQ,0.45339416331020443
CANE,-0.05122624949606398
CEMB,-0.1105259919636047
CGW,-0.12666982655647183
CHIQ,-0.09578932433789601
CMBS,-0.05280920686081612
CMF,-0.0560100670646391
COPX,-0.19191982275127012
CORN,-0.02951652791965626
CORP,-0.1247815186637698
CPER,-0.12400798555118316
CQQQ,-0.1071664558050608
CURE,-0.06992515120544748
CWB,-0.12050658441540597
CWI,-0.14178997429309348
CXSE,-0.10056193200115716
DBA,-0.06668622196827514
DBB,-0.18532974078350262
DBC,-0.17593396052610027
DBEF,-0.04500544649557954
DBEU,-0.05022377661037952
DBJP,-0.010559075575355948
DBO,-0.10699354354083176
DDM,-0.09597128286355455
DEM,-0.15376142559473283
DES,-0.09743903254120773
DEW,-0.12332791407579895
DFJ,-0.07805187975225708
DGP,-0.3444843144813016
DGRE,-0.13791793814199638
DGRS,-0.0983938288705342
DGRW,-0.09681849924894242
DGS,-0.16306048923910987
DHS,-0.10716728653731362
DIA,-0.09652071814290938
DIG,-0.07879204793611709
DIV,-0.1209499583650798
DJP,-0.22422850995585983
DLN,-0.1030578168450372
DLS,-0.13783808050920662
DNL,-0.14281398068573337
DOG,0.09559862959635436
DON,-0.10313553435685557
DRN,-0.13587154554404945
DRV,0.13898648212548512
DSI,-0.10666317837602972
DTD,-0.10528444321816706
DTH,-0.13972697483924815
DUG,0.07877160116941329
DUST,0.3134347021691682
DVY,-0.10032837174445244
DVYE,-0.14954851637441371
DWAS,-0.112432167183181
DWM,-0.13289697952206458
DXD,0.09523259658080659
DXJ,-0.011186686588941596
DXJS,0.006041654941564096
EBND,-0.18781667679743572
ECH,-0.1224218213681191
ECNS,-0.09603794214281139
EDC,-0.14635976968895303
EDIV,-0.13915499805419762
EDV,-0.06737251353964371
EDZ,0.1473479849055845
EELV,-0.1424178293739691
EEM,-0.14683116936523857
EEMA,-0.13431129289036176
EEMV,-0.1501023123134958
EFA,-0.1244517322272735
EFG,-0.12290160578431532
EFV,-0.12291158856063102
EFZ,0.12274286664426447
EIDO,-0.11401496985259765
EMB,-0.15376096279062992
EMHY,-0.13845038335403245
EMLC,-0.18967009060239215
ENFR,-0.10355544299840126
ENOR,-0.1458480316730082
ENZL,-0.15392671799639018
EPHE,-0.11874829922556113
EPI,-0.08572043616829349
EPOL,-0.12777069035464275
EPP,-0.1413629851283009
EPS,-0.09758059041105106
EPV,0.12491317760744743
EQWL,-0.0996472325547119
ERX,-0.07957745527398152
ERY,0.08043638915887652
EUFN,-0.0892746693432385
EUM,0.14658484882087353
EURL,-0.12725632470209072
EUSA,-0.11138630121435954
EWA,-0.13915887050737555
EWC,-0.16219069758742713
EWD,-0.10853757788609256
EWG,-0.11792157797857691
EWH,-0.09939022342785588
EWI,-0.09517991306700206
EWJ,-0.0874484264965535
EWL,-0.11446091513433303
EWM,-0.12382307280529596
EWP,-0.09490744516745345
EWQ,-0.11798914862215962
EWS,-0.12048348059811169
EWT,-0.12755596704106817
EWU,-0.12321870707681462
EWV,0.08411689886373921
EWW,-0.13363575449409798
EWX,-0.14738007898012997
EWY,-0.14850734442526378
EWZ,-0.10677102116443218
EWZS,-0.1067619458630096
EZA,-0.1675884494912556
EZU,-0.11702395438855002
FAN,-0.1265606901153597
FAS,-0.06316953174975874
FAZ,0.06332055795775376
FBT,-0.07308396357803466
FCA,-0.09551196540763426
FCG,-0.06855326143956486
FCOM,-0.10634299713459298
FDD,-0.13293197451803274
FDIS,-0.10877791772784405
FDL,-0.09670091999339546
FDN,-0.10138031915446057
FDT,-0.15301735436941252
FEM,-0.1471304813793877
FEMS,-0.13172766210343942
FENY,-0.07924029322110256
FEZ,-0.11278613911676649
FGD,-0.138714268545424
FHLC,-0.07684185748652313
FIDU,-0.09715516994855226
FIW,-0.11330440515307329
FLOT,-0.06334032781072614
FLRN,-0.07038682484808073
FLTR,-0.07027941967224123
FM,-0.09384839156841726
FMAT,-0.13102450583607578
FMF,-0.00263683724966635
FNCL,-0.05322263317972193
FNDA,-0.10445233871160362
FNDB,-0.10400594989352589
FNDC,-0.14602894609989164
FNDE,-0.13955995459351678
FNDF,-0.1278412715422811
FNDX,-0.10332123059721972
FPE,-0.09472543992084333
FRI,-0.14072685930376816
FSTA,-0.08383104342622034
FTA,-0.09594806832125559
FTC,-0.10692057522176432
FTCS,-0.0942274451487225
FTEC,-0.10193249203455707
FTGC,-0.22472915808317023
FTQI,-0.07437161115578506
FTRI,-0.13796316981135145
FTSL,-0.08010251584745515
FUTY,-0.12348191481584347
FVD,-0.10265813983911995
FXH,-0.0857762617681814
FXI,-0.09598197649221338
FXL,-0.09859833916382697
FXN,-0.07804515606554382
FXO,-0.06260142536640505
FXR,-0.09386807822467913
FXU,-0.12016700064623848
FXY,-0.13287634513572508
FXZ,-0.12834311499289316
FYLD,-0.1349731653805902
GCC,-0.22238898115020939
GDX,-0.3324376019170581
GDXJ,-0.33459647121607516
GLD,-0.3847387191380026
GLTR,-0.45542639604312524
GMF,-0.1252734452681023
GNR,-0.17402026481005245
GOVI,-0.0789024921653614
GOVT,-0.08831481100283087
GREK,-0.06628766784380347
GRID,-0.1103621225885276
GRPM,-0.10124084423465549
GSG,-0.14177172588183945
GSY,-0.05462491577537828
GUNR,-0.19160409211138404
GVI,-0.12054084589705853
GWX,-0.15657186233167047
GXC,-0.10279408676506743
HAUZ,-0.1328919574892125
HDGE,0.08691582043181703
HEDJ,-0.04305720891538816
HYD,-0.08497512292580918
HYEM,-0.09566319424639153
HYG,-0.11648879594064447
HYLS,-0.1068963514724575
HYMB,-0.08257315534668179
HYS,-0.11341894214156253
HYZD,-0.05403808280034944
IAI,-0.04407787936763612
IAK,-0.05839782428537387
IAT,-0.027411164653785403
IAU,-0.38308476849640216
IBB,-0.0778663415589787
IBND,-0.197695146879554
ICF,-0.13311420821705097
ICLN,-0.1335534070053468
ICSH,-0.030019494452864993
IDHQ,-0.11032399110848218
IDLV,-0.14284073972710815
IDMO,-0.10383331614613155
IDU,-0.1256945001370196
IDV,-0.14227668999282686
IDX,-0.12263438476373495
IEF,-0.0953050404857442
IEFA,-0.12733169697718233
IEI,-0.10800672844441726
IEMG,-0.14751403273948305
IEO,-0.07098832540566355
IEV,-0.12278382293801791
IEZ,-0.07237401864453341
IGE,-0.1347938749427936
IGF,-0.1443586690067757
IGIB,-0.13937946512355054
IGLB,-0.11805225157468148
IGM,-0.10529047548495733
IGOV,-0.20349144878981726
IGPT,-0.09751824414351011
IGSB,-0.1383266998850191
IGV,-0.09975247886078767
IHE,-0.0578558957710739
IHF,-0.07081555861682445
IHI,-0.09697308181589827
IJH,-0.11195860104600015
IJJ,-0.10589650814778102
IJK,-0.11098690512156914
IJR,-0.10151211395339782
IJS,-0.0899383637319453
IJT,-0.10955228244790911
ILCB,-0.1083969531982069
ILCG,-0.1135038086898472
ILCV,-0.09022918655837608
ILF,-0.12869473266294978
ILTB,-0.10752954763228485
IMCB,-0.11448180114790588
IMCG,-0.10885041347465055
IMCV,-0.09967501096963599
INCO,-0.07612551746272267
INDA,-0.0842986164049129
INDL,-0.08331527906110392
INDY,-0.08522080334301324
IOO,-0.11424097803797748
ISCG,-0.1171478571619073
ISHG,-0.20527753569638488
ISTB,-0.14867524306876514
ITA,-0.10369874644148738
ITB,-0.10560377490610934
ITM,-0.09661514318633574
ITOT,-0.1130587170735846
IUSV,-0.09667876363936287
IVE,-0.09538419198319638
IVOO,-0.11211999012315532
IVV,-0.10880400486976236
IVW,-0.10783285427759115
IWB,-0.11077440871755562
IWC,-0.11343636468427834
IWD,-0.1004202162341937
IWF,-0.11060649433575662
IWL,-0.1076388538288418
IWM,-0.11442268092134114
IWN,-0.10504823784202172
IWO,-0.11520302469663968
IWP,-0.11158197597292516
IWR,-0.11457215210815147
IWS,-0.11222210775014979
IWV,-0.11154197831289746
IWX,-0.09343775322027428
IWY,-0.10800541939295505
IXC,-0.10033724072029952
IXJ,-0.08483913541242803
IXN,-0.10667453307941567
IXUS,-0.14642482283156247
IYC,-0.10467511449902638
IYE,-0.08071897088625939
IYF,-0.07104961309670564
IYG,-0.05503771026576089
